word,HR,YorN
และ,1.61199360842184,n
manag,1.33001221919353,
recruit,1.30651377009117,y
พนักงาน,1.03393176050381,
การ,0.911739825171539,n
งาน,0.789547889839271,n
work,0.775448820377855,n
develop,0.766049440736911,
train,0.728451922173137,y
employe,0.681455023968418,y
relat,0.676755334147946,
experi,0.657956574866059,n
ของ,0.643857505404643,n
resourc,0.643857505404643,y
ใน,0.629758435943228,n
offic,0.625058746122756,
ที่,0.615659366481812,n
skill,0.606259986840868,n
candid,0.582761537738509,
human,0.573362158097565,y
support,0.521665570072375,
จัดทำ,0.4840680515086,n
year,0.474668671867657,n
team,0.469968982047185,
ให้,0.460569602406241,n
communic,0.451170222765297,
ฝึกอบรม,0.451170222765297,y
process,0.451170222765297,
compani,0.451170222765297,n
good,0.441770843124354,n
สรรหา,0.441770843124354,y
plan,0.437071153303882,
busi,0.427671773662938,n
activ,0.427671773662938,
ต่างๆ,0.413572704201523,n
staff,0.413572704201523,
program,0.390074255099163,
benefit,0.38067487545822,
organ,0.371275495817276,n
provid,0.366575805996804,n
administr,0.352476736535389,
ได้,0.352476736535389,n
english,0.343077356894445,
เจ้าหน้าที่,0.338377667073973,n
กับ,0.328978287433029,n
มี,0.328978287433029,n
requir,0.328978287433029,n
ด้าน,0.324278597612557,n
อื่นๆ,0.324278597612557,n
perform,0.310179528151142,
degre,0.30547983833067,n
ดูแล,0.30547983833067,
interview,0.30547983833067,y
includ,0.296080458689726,n
ensur,0.291380768869255,
field,0.291380768869255,
report,0.286681079048783,
qualif,0.281981389228311,
บุคคล,0.277281699407839,y
เอกสาร,0.272582009587367,
posit,0.272582009587367,n
assist,0.272582009587367,
time,0.272582009587367,
coordin,0.267882319766895,
ตำแหน่ง,0.267882319766895,n
thailand,0.267882319766895,n
บุคลากร,0.267882319766895,y
ข้อมูล,0.263182629946423,
strong,0.263182629946423,n
compens,0.263182629946423,
servic,0.258482940125952,
applic,0.258482940125952,
salari,0.25378325030548,
respons,0.249083560485008,n
bachelor,0.244383870664536,n
function,0.244383870664536,
เงินเดือน,0.244383870664536,
สวัสดิการ,0.234984491023592,
ฝ่าย,0.234984491023592,n
องค์กร,0.234984491023592,
bangkok,0.230284801203121,n
พัฒนา,0.230284801203121,
ระบบ,0.230284801203121,
need,0.225585111382649,n
document,0.225585111382649,
knowledg,0.225585111382649,
รับมอบหมาย,0.220885421562177,n
excel,0.220885421562177,
ทรัพยากรบุคคล,0.220885421562177,y
implement,0.211486041921233,n
เพื่อ,0.206786352100761,n
assign,0.206786352100761,
intern,0.202086662280289,
record,0.202086662280289,
learn,0.202086662280289,
project,0.197386972459818,
thai,0.197386972459818,n
updat,0.197386972459818,
ตาม,0.192687282639346,n
เกี่ยวข้อง,0.187987592818874,n
เช่น,0.187987592818874,n
contact,0.187987592818874,
payrol,0.187987592818874,y
effect,0.183287902998402,
role,0.183287902998402,n
data,0.183287902998402,
สาขา,0.17858821317793,n
maintain,0.17858821317793,
person,0.17858821317793,
level,0.17858821317793,n
depart,0.173888523357458,n
ประสานงาน,0.173888523357458,
execut,0.173888523357458,
polici,0.173888523357458,
การทำงาน,0.173888523357458,n
ประกันสังคม,0.173888523357458,
abl,0.173888523357458,n
strategi,0.173888523357458,
inform,0.173888523357458,
talent,0.173888523357458,y
resum,0.169188833536986,
career,0.169188833536986,y
write,0.164489143716515,
ตรวจสอบ,0.164489143716515,
ใหม่,0.164489143716515,n
command,0.164489143716515,
contract,0.164489143716515,n
build,0.164489143716515,
senior,0.159789453896043,n
partner,0.159789453896043,
prepar,0.155089764075571,
descript,0.155089764075571,n
client,0.155089764075571,
บริษัท,0.150390074255099,n
จัด,0.150390074255099,n
handl,0.150390074255099,
oper,0.145690384434627,
ตามที่,0.145690384434627,n
hire,0.145690384434627,y
task,0.140990694614155,n
speak,0.140990694614155,
ปฏิบัติงาน,0.140990694614155,n
ทำงาน,0.140990694614155,n
ทำ,0.136291004793684,n
อย่าง,0.136291004793684,n
japanes,0.136291004793684,
ประจำปี,0.136291004793684,n
interperson,0.136291004793684,
environ,0.136291004793684,
abil,0.136291004793684,
sourc,0.136291004793684,
หน่วยงาน,0.131591314973212,n
หรือ,0.131591314973212,n
รายงาน,0.131591314973212,
บันทึก,0.131591314973212,
high,0.131591314973212,n
ปี,0.131591314973212,n
peopl,0.131591314973212,
market,0.12689162515274,
ดี,0.12689162515274,n
month,0.12689162515274,n
ติดต่อ,0.12689162515274,
industri,0.12689162515274,n
line,0.12689162515274,
design,0.12689162515274,
แผน,0.12689162515274,
procedur,0.12689162515274,
profession,0.12689162515274,
conduct,0.12689162515274,
screen,0.12689162515274,
select,0.12689162515274,
annual,0.122191935332268,
attend,0.122191935332268,
issu,0.122191935332268,
initi,0.122191935332268,
ทั้ง,0.117492245511796,n
orient,0.117492245511796,y
insur,0.117492245511796,
evalu,0.117492245511796,
employ,0.117492245511796,
ประวัติ,0.117492245511796,
negoti,0.112792555691324,
locat,0.112792555691324,n
lead,0.112792555691324,
submit,0.112792555691324,
เป็น,0.112792555691324,n
สัมภาษณ์,0.112792555691324,y
understand,0.112792555691324,
supervisor,0.112792555691324,n
expect,0.108092865870853,
websit,0.108092865870853,
รับผิดชอบ,0.108092865870853,n
ภายใน,0.108092865870853,
ขึ้นไป,0.108092865870853,n
social,0.108092865870853,
welfar,0.108092865870853,
offer,0.103393176050381,
