word,buesiness develop,YorN
busi,2.27548135182442,y
develop,1.54167227682779,y
manag,1.36663524976437,
และ,1.33970647637,n
work,1.12427628921503,n
market,0.821327588528343,
skill,0.801131008482563,n
experi,0.760737848391006,n
team,0.733809074996634,
compani,0.727076881648041,n
plan,0.706880301602262,
sale,0.686683721556483,
การ,0.686683721556483,n
ที่,0.653022754813518,n
project,0.646290561464925,
ใน,0.619361788070553,n
product,0.572236434630403,y
client,0.572236434630403,
servic,0.552039854584624,y
custom,0.545307661236031,y
communic,0.518378887841659,
good,0.484717921098694,n
year,0.477985727750101,n
relat,0.471253534401508,
intern,0.444324761007136,
ธุรกิจ,0.437592567658543,y
strong,0.437592567658543,n
ของ,0.43086037430995,n
กับ,0.424128180961357,n
execut,0.403931600915578,
strategi,0.390467214218392,y
oper,0.383735020869799,
provid,0.383735020869799,n
english,0.377002827521206,
excel,0.356806247475427,
opportun,0.350074054126834,
degre,0.343341860778241,n
เพื่อ,0.302948700686684,n
ensur,0.296216507338091,
ให้,0.296216507338091,n
มี,0.296216507338091,n
process,0.296216507338091,
requir,0.296216507338091,n
abil,0.296216507338091,n
industri,0.289484313989498,
activ,0.289484313989498,
identifi,0.289484313989498,
perform,0.282752120640905,
consult,0.276019927292312,y
support,0.276019927292312,
meet,0.269287733943719,
bachelor,0.269287733943719,n
report,0.269287733943719,
respons,0.269287733943719,
bangkok,0.269287733943719,n
พัฒนา,0.269287733943719,y
drive,0.269287733943719,
relationship,0.262555540595126,
lead,0.262555540595126,
ข้อมูล,0.262555540595126,
need,0.255823347246533,
qualif,0.255823347246533,n
account,0.255823347246533,
understand,0.255823347246533,
improv,0.24909115389794,y
present,0.24909115389794,
organ,0.242358960549347,
offic,0.235626767200754,
includ,0.235626767200754,
knowledg,0.235626767200754,
analyt,0.228894573852161,y
thailand,0.228894573852161,n
build,0.228894573852161,
data,0.228894573852161,
ด้าน,0.222162380503568,n
ได้,0.222162380503568,n
salari,0.222162380503568,n
field,0.222162380503568,
assist,0.222162380503568,
thai,0.222162380503568,n
partner,0.222162380503568,
implement,0.222162380503568,
วิเคราะห์,0.215430187154975,y
เกี่ยวข้อง,0.215430187154975,n
งาน,0.215430187154975,n
initi,0.215430187154975,
qualiti,0.208697993806382,n
analysi,0.208697993806382,y
maintain,0.208697993806382,
audit,0.208697993806382,
ลูกค้า,0.201965800457789,
ทาง,0.201965800457789,n
creat,0.201965800457789,
monitor,0.201965800457789,
strateg,0.201965800457789,y
analyz,0.201965800457789,y
inform,0.201965800457789,
write,0.195233607109196,
ใหม่,0.188501413760603,n
high,0.188501413760603,n
environ,0.188501413760603,
level,0.188501413760603,n
abl,0.188501413760603,n
time,0.188501413760603,
coordin,0.18176922041201,
depart,0.18176922041201,
จัดทำ,0.18176922041201,
ขาย,0.18176922041201,
prepar,0.18176922041201,
achiev,0.18176922041201,
ผลิตภัณฑ์,0.18176922041201,
result,0.18176922041201,
research,0.175037027063417,
problem,0.175037027063417,
สินค้า,0.175037027063417,
effect,0.175037027063417,
appli,0.175037027063417,
negoti,0.168304833714824,
technolog,0.168304833714824,
หรือ,0.168304833714824,n
สามารถ,0.168304833714824,n
applic,0.168304833714824,
control,0.161572640366231,
target,0.161572640366231,
financi,0.161572640366231,
contact,0.161572640366231,
prefer,0.161572640366231,
candid,0.161572640366231,
การพัฒนา,0.161572640366231,y
direct,0.161572640366231,
potenti,0.161572640366231,y
base,0.154840447017638,
task,0.154840447017638,n
ประสานงาน,0.154840447017638,
posit,0.154840447017638,n
assign,0.154840447017638,
brand,0.154840447017638,
campaign,0.154840447017638,
bank,0.154840447017638,
solut,0.154840447017638,y
หน่วยงาน,0.148108253669045,n
function,0.148108253669045,
program,0.148108253669045,
standard,0.141376060320452,
ต่างๆ,0.141376060320452,n
อย่าง,0.141376060320452,n
close,0.141376060320452,n
area,0.141376060320452,
deal,0.141376060320452,
order,0.134643866971859,
เจ้าหน้าที่,0.134643866971859,n
บริษัท,0.134643866971859,n
goal,0.134643866971859,
command,0.134643866971859,
channel,0.134643866971859,
promot,0.134643866971859,
recruit,0.134643866971859,n
floor,0.134643866971859,n
digit,0.134643866971859,
object,0.134643866971859,
decis,0.134643866971859,
administr,0.127911673623266,
descript,0.127911673623266,n
อื่นๆ,0.127911673623266,n
look,0.127911673623266,n
person,0.127911673623266,
expect,0.127911673623266,
deliv,0.127911673623266,
corpor,0.127911673623266,n
benefit,0.127911673623266,
follow,0.127911673623266,
growth,0.127911673623266,y
senior,0.121179480274673,n
speak,0.121179480274673,n
กำหนด,0.121179480274673,
safeti,0.121179480274673,
onlin,0.121179480274673,
road,0.121179480274673,n
media,0.121179480274673,
insur,0.121179480274673,
pressur,0.121179480274673,n
staff,0.121179480274673,
action,0.121179480274673,
peopl,0.121179480274673,
innov,0.121179480274673,y
retail,0.121179480274673,
current,0.11444728692608,n
success,0.11444728692608,n
acquisit,0.11444728692608,
issu,0.11444728692608,
learn,0.11444728692608,
solv,0.107715093577488,y
ติดตาม,0.107715093577488,
ใช้,0.107715093577488,n
optim,0.107715093577488,
minimum,0.107715093577488,
การตลาด,0.107715093577488,
polici,0.107715093577488,
trend,0.107715093577488,
การทำงาน,0.107715093577488,n
ปี,0.107715093577488,n
องค์กร,0.107715093577488,n
train,0.107715093577488,
grow,0.107715093577488,y
role,0.107715093577488,n
interest,0.107715093577488,
collabor,0.107715093577488,
conduct,0.107715093577488,
passion,0.107715093577488,n
evalu,0.107715093577488,y
make,0.107715093577488,n
commerc,0.107715093577488,
detail,0.100982900228895,
ดี,0.100982900228895,n
ปฏิบัติงาน,0.100982900228895,n
cost,0.100982900228895,
resourc,0.100982900228895,
design,0.100982900228895,
fast,0.100982900228895,n
เป้าหมาย,0.100982900228895,
platform,0.100982900228895,
proactiv,0.100982900228895,
