word,care taker,YorN
และ,3.56164383561644,n
ดูแล,3.01369863013699,y
สัตว์,2.73972602739726,
การ,2.46575342465753,n
ได้,2.46575342465753,n
ผู้ป่วย,2.46575342465753,y
ที่,2.19178082191781,n
ใน,2.19178082191781,n
ของ,1.0958904109589,n
ผู้ช่วย,1.0958904109589,
พนักงาน,1.0958904109589,
ช่วย,1.0958904109589,
เป็น,1.0958904109589,n
ช่วยเหลือ,1.0958904109589,y
ตำแหน่ง,0.821917808219178,n
มี,0.821917808219178,n
แพทย์,0.821917808219178,y
ทำงาน,0.821917808219178,n
โรงพยาบาล,0.821917808219178,y
อาหาร,0.821917808219178,
เดิน,0.821917808219178,n
รพ,0.821917808219178,y
สัตวแพทย์,0.821917808219178,
ป้อน,0.821917808219178,y
ช่วยดูแล,0.821917808219178,y
ที่พัก,0.821917808219178,
ป่วย,0.821917808219178,y
เจ้าหน้าที่,0.547945205479452,
ประสานงาน,0.547945205479452,
หน่วยงาน,0.547945205479452,
ให้,0.547945205479452,n
สาขา,0.547945205479452,
หรือ,0.547945205479452,n
ได้รับ,0.547945205479452,n
ดี,0.547945205479452,n
งาน,0.547945205479452,n
รับมอบหมาย,0.547945205479452,
อย่าง,0.547945205479452,n
รับ,0.547945205479452,n
ตรวจ,0.547945205479452,
มา,0.547945205479452,n
อื่นๆ,0.547945205479452,n
ประจำ,0.547945205479452,n
เตรียม,0.547945205479452,
อุปกรณ์,0.547945205479452,
ไม่,0.547945205479452,n
การรักษา,0.547945205479452,
ปี,0.547945205479452,n
ด่วน,0.547945205479452,n
หญิง,0.547945205479452,n
ทำความสะอาด,0.547945205479452,
มาก,0.547945205479452,n
ให้การ,0.547945205479452,n
ฟาร์ม,0.547945205479452,n
ทำอาหาร,0.547945205479452,
ประมาณ,0.547945205479452,
ใช้งาน,0.547945205479452,n
พา,0.547945205479452,n
จุฬารัตน์,0.547945205479452,
นั่ง,0.547945205479452,
อาบน้ำ,0.547945205479452,y
ส์,0.547945205479452,n
การจดบันทึก,0.547945205479452,
พี่เลี้ยง,0.547945205479452,y
ขวบ,0.547945205479452,n
ข้าง,0.547945205479452,n
ผู้สูงอายุ,0.547945205479452,y
อัมพฤกษ์,0.547945205479452,y
ผม,0.547945205479452,n
พาหะ,0.547945205479452,y
เชื้อโรค,0.547945205479452,y
ฟาม,0.547945205479452,n
วิเคราะห์,0.273972602739726,
ตรวจสอบ,0.273972602739726,
ตาม,0.273972602739726,n
บริษัท,0.273972602739726,n
กับ,0.273972602739726,n
เกี่ยวข้อง,0.273972602739726,n
เพื่อ,0.273972602739726,n
ลูกค้า,0.273972602739726,
ใช้,0.273972602739726,n
สามารถ,0.273972602739726,n
ต้อง,0.273972602739726,n
เช่น,0.273972602739726,n
โรค,0.273972602739726,y
พยาบาล,0.273972602739726,y
เช็ค,0.273972602739726,
ถูกต้อง,0.273972602739726,
ต่อ,0.273972602739726,
ติดต่อ,0.273972602739726,
ความเหมาะสม,0.273972602739726,
สวัสดิการ,0.273972602739726,n
ฟรี,0.273972602739726,n
ระหว่าง,0.273972602739726,n
เงินเดือน,0.273972602739726,n
ราย,0.273972602739726,n
ตามที่,0.273972602739726,n
ตำแหน่งงาน,0.273972602739726,n
ตัวเอง,0.273972602739726,n
อยู่,0.273972602739726,n
ยา,0.273972602739726,y
การทำงาน,0.273972602739726,n
บาง,0.273972602739726,n
แผนก,0.273972602739726,
ๆ,0.273972602739726,n
ความสะอาด,0.273972602739726,
พระ,0.273972602739726,n
