word,cashier,YorN
และ,2.09285542458504,n
ที่,1.85229732980515,n
แคชเชียร์,1.80418571084917,y
ใน,1.49146018763531,n
การ,1.49146018763531,n
งาน,1.34712533076738,n
สาขา,1.27495790233341,n
ได้,1.22684628337744,n
เงิน,1.20279047389945,
เครื่อง,1.17873466442146,
สินค้า,1.05845561703151,
ดูแล,1.05845561703151,
ของ,1.03439980755352,n
บริการ,1.03439980755352,
มี,1.01034399807554,n
ค่า,1.01034399807554,n
ปี,0.938176569641568,n
ให้,0.89006495068559,n
ขึ้นไป,0.89006495068559,n
ลูกค้า,0.841953331729613,
สรุป,0.841953331729613,
ขาย,0.745730093817657,
พนักงาน,0.745730093817657,
ชำระเงิน,0.745730093817657,y
รับ,0.721674284339668,
กะ,0.721674284339668,
สามารถ,0.697618474861679,n
ชำระ,0.697618474861679,
ทำงาน,0.67356266538369,n
กับ,0.649506855905701,n
ใช้,0.601395236949723,n
อายุ,0.601395236949723,n
น,0.577339427471734,n
ตรวจสอบ,0.553283617993746,
วัน,0.553283617993746,n
เรียบร้อย,0.529227808515757,
ยอด,0.481116189559779,
cashier,0.481116189559779,y
ไม่,0.45706038008179,n
เงินสด,0.45706038008179,y
ตำแหน่ง,0.433004570603801,n
อื่นๆ,0.433004570603801,n
เป็น,0.433004570603801,n
ปฏิบัติงาน,0.408948761125812,n
ประจำ,0.408948761125812,n
มีประสบการณ์,0.408948761125812,n
บัตรเครดิต,0.408948761125812,
เพศชาย,0.384892951647823,n
บาร์,0.384892951647823,
ใจรัก,0.384892951647823,n
หญิง,0.384892951647823,n
เพื่อ,0.360837142169834,n
ม,0.360837142169834,n
ก่อน,0.360837142169834,n
แต่ละ,0.360837142169834,n
ธนาคาร,0.360837142169834,
qualif,0.336781332691845,
ตาม,0.336781332691845,n
ดี,0.336781332691845,n
ผ่าน,0.336781332691845,n
ยอดขาย,0.336781332691845,
ยอดเงิน,0.336781332691845,y
รับมอบหมาย,0.312725523213856,
จาก,0.312725523213856,n
เริ่ม,0.312725523213856,n
ร้าน,0.312725523213856,
วุฒิการศึกษา,0.312725523213856,n
interest,0.312725523213856,
detail,0.288669713735867,
เอกสาร,0.288669713735867,n
คุณสมบัติ,0.288669713735867,n
current,0.288669713735867,
expect,0.288669713735867,
บาท,0.288669713735867,n
recent,0.288669713735867,n
photograph,0.288669713735867,n
product,0.264613904257878,
เกี่ยวข้อง,0.264613904257878,n
ระดับ,0.264613904257878,n
compani,0.264613904257878,n
submit,0.264613904257878,
