word,customer service,YorN
และ,2.26986657715868,n
ลูกค้า,1.85029789376521,y
ที่,1.24192330284468,n
ให้,1.17059662666779,n
การ,1.11605269782663,n
custom,1.01955190064614,y
ใน,0.923051103465637,n
งาน,0.885289921960225,n
บริการ,0.885289921960225,y
ได้,0.855920114122682,n
สินค้า,0.80137618528153,
ของ,0.797180498447596,n
servic,0.763615003776118,y
ขาย,0.73844088277251,
กับ,0.66711420659562,n
มี,0.629353025090207,n
สาขา,0.579004783082991,n
วัน,0.579004783082991,n
ต่างๆ,0.51606948057397,n
ข้อมูล,0.503482420072166,y
รับ,0.490895359570362,
ดูแล,0.486699672736427,y
ตำแหน่ง,0.427960057061341,n
ทำงาน,0.423764370227406,n
ตาม,0.406981622891667,n
บริษัท,0.402785936057733,n
manag,0.394394562389863,
สามารถ,0.394394562389863,n
หรือ,0.356633380884451,n
ประจำ,0.344046320382647,
ประสานงาน,0.335654946714777,
ให้บริการ,0.327263573046908,y
อื่นๆ,0.318872199379038,n
ไม่,0.318872199379038,n
work,0.314676512545104,n
เจ้าหน้าที่,0.310480825711169,n
ทาง,0.310480825711169,n
พนักงาน,0.310480825711169,n
รับมอบหมาย,0.29369807837543,
แนะนำ,0.29369807837543,y
เพื่อ,0.289502391541495,n
ติดต่อ,0.289502391541495,
เป็น,0.289502391541495,n
ดี,0.285306704707561,n
client,0.285306704707561,y
experi,0.281111017873626,n
ใช้,0.281111017873626,n
team,0.272719644205756,
skill,0.268523957371822,n
ด้าน,0.268523957371822,n
ปฏิบัติงาน,0.264328270537887,n
communic,0.260132583703952,y
ปี,0.255936896870018,n
เอกสาร,0.251741210036083,
offic,0.251741210036083,
provid,0.251741210036083,y
center,0.247545523202148,y
กำหนด,0.239154149534279,
เรื่อง,0.234958462700344,n
รับสมัคร,0.230762775866409,n
good,0.22237140219854,n
ผ่าน,0.22237140219854,n
ค่า,0.22237140219854,n
ขึ้นไป,0.22237140219854,n
เงินเดือน,0.218175715364605,n
compani,0.21398002853067,n
ensur,0.209784341696736,
เกี่ยวกับ,0.209784341696736,n
ร้าน,0.209784341696736,
รายได้,0.209784341696736,
english,0.205588654862801,
แก่,0.205588654862801,n
พร้อม,0.205588654862801,n
ภายใน,0.205588654862801,
ต่อ,0.201392968028866,n
guest,0.197197281194932,y
sale,0.193001594360997,
ตามที่,0.193001594360997,n
เข้ามา,0.193001594360997,
บาท,0.193001594360997,n
จาก,0.188805907527062,n
รายละเอียด,0.188805907527062,n
เช่น,0.184610220693127,n
time,0.180414533859193,
coordin,0.176218847025258,
depart,0.176218847025258,n
ประกัน,0.172023160191323,n
พื้นที่,0.172023160191323,
relat,0.167827473357389,y
ทำ,0.167827473357389,n
อย่าง,0.167827473357389,n
requir,0.167827473357389,n
ต้อนรับ,0.167827473357389,y
เดือน,0.167827473357389,n
วันหยุด,0.167827473357389,n
พนักงานขาย,0.163631786523454,
เวลา,0.163631786523454,
product,0.159436099689519,
oper,0.159436099689519,
เกี่ยวข้อง,0.159436099689519,n
ประชาสัมพันธ์,0.159436099689519,y
โทรศัพท์,0.155240412855584,y
โทร,0.155240412855584,y
การทำงาน,0.155240412855584,n
ผลิตภัณฑ์,0.155240412855584,
อายุ,0.155240412855584,n
