word,graphic design,YorN
design,2.54871596335011,y
และ,2.30352303523035,n
graphic,1.54213446896374,y
ออกแบบ,1.47761001419538,y
งาน,1.39372822299652,n
ที่,1.2646793134598,n
ได้,1.20015485869144,n
ใน,1.03239127629372,n
การ,1.00012904890954,n
work,0.890437475803329,n
มี,0.838817911988644,n
ของ,0.800103239127629,n
ต่างๆ,0.787198348173958,n
creativ,0.729126338882436,y
สามารถ,0.716221447928765,n
ใช้,0.600077429345722,n
experi,0.567815201961543,n
market,0.548457865531036,
adob,0.542005420054201,y
สื่อ,0.522648083623693,
ให้,0.516195638146858,n
skill,0.503290747193186,n
photoshop,0.490385856239515,y
media,0.483933410762679,
team,0.471028519809008,
เพื่อ,0.464576074332172,n
กับ,0.458123628855336,n
illustr,0.458123628855336,y
หรือ,0.438766292424829,n
อื่นๆ,0.438766292424829,n
ทำงาน,0.438766292424829,n
video,0.412956510517486,y
communic,0.40650406504065,
product,0.393599174086979,
project,0.393599174086979,
บริษัท,0.374241837656472,n
โปรแกรม,0.374241837656472,
brand,0.374241837656472,
creat,0.367789392179636,y
ด้าน,0.348432055749129,n
social,0.348432055749129,
digit,0.341979610272293,y
good,0.322622273841786,n
เป็น,0.322622273841786,n
ตำแหน่ง,0.31616982836495,n
อย่าง,0.31616982836495,n
websit,0.31616982836495,
year,0.309717382888115,n
requir,0.303264937411279,n
ทีม,0.296812491934443,
เกี่ยวข้อง,0.290360046457607,n
ทำ,0.290360046457607,n
รับมอบหมาย,0.290360046457607,n
abl,0.283907600980772,n
กราฟฟิค,0.283907600980772,y
ลูกค้า,0.277455155503936,
develop,0.2710027100271,
english,0.2710027100271,
effect,0.2710027100271,
การตลาด,0.2710027100271,
สร้างสรรค์,0.2710027100271,y
time,0.2710027100271,
ผลงาน,0.264550264550264,
ทาง,0.251645373596593,n
สินค้า,0.251645373596593,
relat,0.238740482642922,
ปี,0.238740482642922,n
content,0.238740482642922,
ตาม,0.232288037166086,n
ออนไลน์,0.232288037166086,
portfolio,0.232288037166086,n
strong,0.232288037166086,n
กราฟิก,0.232288037166086,y
manag,0.22583559168925,
สำหรับ,0.22583559168925,n
knowledg,0.22583559168925,
abil,0.22583559168925,
การทำงาน,0.22583559168925,n
ตัดต่อ,0.22583559168925,y
ดี,0.219383146212414,n
เช่น,0.219383146212414,n
visual,0.219383146212414,y
concept,0.219383146212414,
ประชาสัมพันธ์,0.206478255258743,
degre,0.200025809781907,n
present,0.200025809781907,
ดูแล,0.200025809781907,
onlin,0.200025809781907,
จาก,0.200025809781907,n
ไม่,0.200025809781907,n
เจ้าหน้าที่,0.193573364305072,n
สาขา,0.193573364305072,n
จะ,0.193573364305072,n
ความรับผิดชอบ,0.193573364305072,n
ตามที่,0.193573364305072,n
idea,0.187120918828236,
ประสานงาน,0.1806684733514,
ทั้ง,0.1806684733514,n
หน้าที่,0.174216027874564,n
provid,0.174216027874564,n
กราฟฟิก,0.174216027874564,y
คุณสมบัติ,0.167763582397729,n
high,0.167763582397729,n
client,0.167763582397729,
ใหม่,0.161311136920893,n
นำเสนอ,0.161311136920893,
compani,0.161311136920893,n
field,0.161311136920893,
event,0.161311136920893,
artwork,0.161311136920893,y
bachelor,0.154858691444057,n
เป็นพิเศษ,0.154858691444057,n
พร้อม,0.154858691444057,n
ความคิดสร้างสรรค์,0.154858691444057,y
excel,0.154858691444057,
