word,interior archetecture,YorN
design,3.12137049941928,y
และ,2.13414634146341,n
ลูกค้า,1.64053426248548,
ใน,1.45180023228804,n
ที่,1.37921022067364,n
interior,1.24854819976771,y
งาน,1.19047619047619,n
ออกแบบ,1.19047619047619,y
ให้,1.03077816492451,n
แบบ,0.972706155632985,
การ,0.929152148664344,n
รายการ,0.871080139372822,
กับ,0.813008130081301,n
มี,0.79849012775842,n
work,0.754936120789779,n
project,0.740418118466899,
สาขา,0.682346109175377,n
team,0.667828106852497,
ได้,0.667828106852497,n
ปี,0.653310104529617,n
วัสดุ,0.638792102206736,
develop,0.609756097560976,
สินค้า,0.537166085946574,
ตกแต่งภายใน,0.537166085946574,y
experi,0.522648083623693,n
ต่างๆ,0.508130081300813,n
requir,0.493612078977933,n
จัด,0.450058072009291,n
มีประสบการณ์,0.450058072009291,n
product,0.435540069686411,
ของ,0.435540069686411,n
compani,0.435540069686411,n
ขาย,0.421022067363531,
สรุป,0.421022067363531,
manag,0.40650406504065,
ประสานงาน,0.40650406504065,
ตาม,0.39198606271777,n
บริการ,0.39198606271777,
เพื่อ,0.37746806039489,n
จบ,0.37746806039489,n
ภายใน,0.37746806039489,
offic,0.348432055749129,
ห้องน้ำ,0.348432055749129,y
ห้องครัว,0.348432055749129,y
qualif,0.333914053426248,n
detail,0.319396051103368,
skill,0.319396051103368,n
includ,0.319396051103368,n
construct,0.319396051103368,y
สามารถ,0.304878048780488,n
client,0.304878048780488,
expect,0.304878048780488,
firm,0.304878048780488,
พนักงาน,0.290360046457607,n
applic,0.290360046457607,
communic,0.275842044134727,
โครงการ,0.275842044134727,
หรือ,0.275842044134727,n
ด้าน,0.275842044134727,n
current,0.275842044134727,n
ทำงาน,0.275842044134727,n
resum,0.275842044134727,n
draw,0.275842044134727,y
สถาปัตยกรรม,0.275842044134727,y
year,0.261324041811847,n
จัดทำ,0.261324041811847,n
รับมอบหมาย,0.261324041811847,n
abl,0.261324041811847,n
creativ,0.261324041811847,
interest,0.261324041811847,
recent,0.261324041811847,n
ติดตาม,0.246806039488966,
นำเสนอ,0.246806039488966,
รับ,0.232288037166086,n
ปริญญาตรี,0.232288037166086,n
model,0.232288037166086,
concept,0.232288037166086,
เพศชาย,0.217770034843205,n
prepar,0.217770034843205,
provid,0.217770034843205,n
ผู้,0.217770034843205,n
bangkok,0.217770034843205,n
อายุ,0.217770034843205,n
หญิง,0.217770034843205,n
store,0.217770034843205,
home,0.217770034843205,
limit,0.217770034843205,
room,0.217770034843205,
เกี่ยวข้อง,0.203252032520325,n
เปิด,0.203252032520325,n
จำนวน,0.203252032520325,n
ต้อง,0.203252032520325,n
โดย,0.203252032520325,n
ส่ง,0.203252032520325,
ตามที่,0.203252032520325,n
รายเดือน,0.203252032520325,n
build,0.203252032520325,y
architectur,0.203252032520325,y
display,0.203252032520325,
ตัวอย่าง,0.203252032520325,
ถอดแบบ,0.203252032520325,y
auto,0.203252032520325,
หน่วยงาน,0.188734030197445,
ตรง,0.188734030197445,n
การศึกษา,0.188734030197445,n
shop,0.188734030197445,
brand,0.188734030197445,
abil,0.188734030197445,
submit,0.188734030197445,
รวมทั้ง,0.188734030197445,n
ปวส,0.188734030197445,n
พิจารณา,0.188734030197445,n
แต่ละ,0.188734030197445,n
time,0.188734030197445,
direct,0.188734030197445,
อธิบาย,0.188734030197445,n
public,0.188734030197445,
photograph,0.188734030197445,
กรณี,0.188734030197445,n
โชว์,0.188734030197445,
coordin,0.174216027874564,
present,0.174216027874564,
ระดับ,0.174216027874564,n
ทาง,0.174216027874564,n
ดี,0.174216027874564,n
อย่าง,0.174216027874564,n
แก่,0.174216027874564,n
director,0.174216027874564,
high,0.174216027874564,n
ส่งเสริม,0.174216027874564,n
center,0.174216027874564,
แผนก,0.174216027874564,
ช่วงเวลา,0.174216027874564,n
ใจรัก,0.174216027874564,n
updat,0.174216027874564,
สัปดาห์,0.174216027874564,n
ขายของ,0.174216027874564,
technic,0.174216027874564,
บำรุงรักษา,0.174216027874564,
อยู่แล้ว,0.174216027874564,n
ตามเวลา,0.174216027874564,
salarieswith,0.174216027874564,n
bangkhen,0.174216027874564,n
muang,0.174216027874564,n
nonthaburi,0.174216027874564,n
การจัดส่ง,0.174216027874564,
ทำให้,0.174216027874564,n
กำ,0.174216027874564,n
พิเศษ,0.174216027874564,n
หน,0.174216027874564,n
ตกลง,0.174216027874564,n
ที่ตั้ง,0.174216027874564,n
ผลการดำเนินงาน,0.174216027874564,n
qualiti,0.159698025551684,
degre,0.159698025551684,n
relat,0.159698025551684,
good,0.159698025551684,n
busi,0.159698025551684,n
plan,0.159698025551684,
document,0.159698025551684,
อื่นๆ,0.159698025551684,n
assist,0.159698025551684,
knowledg,0.159698025551684,
collabor,0.159698025551684,
retail,0.159698025551684,
custom,0.145180023228804,
bachelor,0.145180023228804,n
english,0.145180023228804,
ควบคุม,0.145180023228804,
สอดคล้อง,0.145180023228804,n
complet,0.145180023228804,
field,0.145180023228804,
leadership,0.145180023228804,
ทีม,0.145180023228804,
excel,0.145180023228804,
servic,0.145180023228804,
photoshop,0.145180023228804,
support,0.145180023228804,
contractor,0.145180023228804,
sketch,0.145180023228804,y
kitchen,0.145180023228804,
senior,0.130662020905923,n
ตำแหน่ง,0.130662020905923,n
ใช้,0.130662020905923,n
materi,0.130662020905923,
contact,0.130662020905923,
thai,0.130662020905923,n
เลือก,0.130662020905923,n
strategi,0.130662020905923,
event,0.130662020905923,
liais,0.130662020905923,
task,0.116144018583043,n
need,0.116144018583043,n
ทักษะ,0.116144018583043,n
โปรแกรม,0.116144018583043,
ดูแล,0.116144018583043,n
เพื่อให้,0.116144018583043,n
deadlin,0.116144018583043,
achiev,0.116144018583043,
ฝ่าย,0.116144018583043,n
วาง,0.116144018583043,n
floor,0.116144018583043,
รับผิดชอบ,0.116144018583043,n
เป็น,0.116144018583043,n
การทำงาน,0.116144018583043,n
ขึ้นไป,0.116144018583043,n
understand,0.116144018583043,n
profession,0.116144018583043,
open,0.116144018583043,n
passion,0.116144018583043,n
hotel,0.116144018583043,
independ,0.116144018583043,
architect,0.116144018583043,y
เขียนแบบ,0.116144018583043,y
ตกแต่ง,0.116144018583043,y
เฟอร์นิเจอร์,0.116144018583043,y
คุณสมบัติ,0.101626016260163,n
เป็นไป,0.101626016260163,n
กำหนด,0.101626016260163,
salari,0.101626016260163,
industri,0.101626016260163,n
posit,0.101626016260163,n
intern,0.101626016260163,
close,0.101626016260163,n
assign,0.101626016260163,
thailand,0.101626016260163,n
candid,0.101626016260163,n
road,0.101626016260163,n
ได้ดี,0.101626016260163,n
พัฒนา,0.101626016260163,
consult,0.101626016260163,
role,0.101626016260163,n
send,0.101626016260163,
think,0.101626016260163,
brief,0.101626016260163,
specif,0.101626016260163,
demonstr,0.101626016260163,
ห้อง,0.101626016260163,
conceptu,0.101626016260163,y
illustr,0.101626016260163,y
ก่อสร้าง,0.101626016260163,y
