word,investor + trader + risk management,YorN
และ,2.25108225108225,n
financi,1.14718614718615,y
การ,1.03896103896104,n
manag,0.974025974025974,
ที่,0.952380952380952,n
มี,0.865800865800866,n
busi,0.854978354978355,n
ใน,0.800865800865801,n
financ,0.779220779220779,y
ของ,0.725108225108225,n
compani,0.714285714285714,n
account,0.714285714285714,y
report,0.703463203463203,
experi,0.670995670995671,n
ให้,0.616883116883117,n
work,0.562770562770563,n
ด้าน,0.551948051948052,n
skill,0.519480519480519,n
analysi,0.508658008658009,y
ตรวจสอบ,0.497835497835498,
การเงิน,0.497835497835498,y
relat,0.487012987012987,
วิเคราะห์,0.476190476190476,y
year,0.465367965367965,n
perform,0.432900432900433,
team,0.422077922077922,
credit,0.411255411255411,y
good,0.4004329004329,n
ได้,0.4004329004329,n
plan,0.38961038961039,
budget,0.38961038961039,y
degre,0.378787878787879,n
english,0.378787878787879,
ลูกค้า,0.367965367965368,
offic,0.367965367965368,
process,0.367965367965368,
oper,0.357142857142857,
สินเชื่อ,0.357142857142857,y
กับ,0.346320346320346,n
จัดทำ,0.346320346320346,n
หรือ,0.335497835497836,n
risk,0.335497835497836,y
review,0.335497835497836,
สาขา,0.324675324675325,n
ความเสี่ยง,0.324675324675325,y
qualif,0.313852813852814,n
บริษัท,0.313852813852814,n
เกี่ยวข้อง,0.313852813852814,n
เพื่อ,0.313852813852814,n
forecast,0.313852813852814,y
ข้อมูล,0.313852813852814,
ธนาคาร,0.313852813852814,
bachelor,0.303030303030303,n
provid,0.303030303030303,n
รายงาน,0.292207792207792,
prepar,0.292207792207792,
excel,0.292207792207792,
ensur,0.281385281385281,
communic,0.281385281385281,
งาน,0.281385281385281,n
requir,0.281385281385281,n
cash,0.281385281385281,
product,0.27056277056277,
develop,0.27056277056277,
custom,0.27056277056277,
month,0.27056277056277,n
bangkok,0.25974025974026,
เงิน,0.248917748917749,
invest,0.248917748917749,y
ต่างๆ,0.238095238095238,n
ดี,0.238095238095238,n
thailand,0.238095238095238,n
ธุรกิจ,0.238095238095238,n
ปี,0.238095238095238,n
bank,0.238095238095238,
market,0.227272727272727,
เอกสาร,0.227272727272727,
monitor,0.227272727272727,
strong,0.227272727272727,n
audit,0.227272727272727,
support,0.227272727272727,
ทักษะ,0.216450216450216,n
analyst,0.216450216450216,n
control,0.205627705627706,
applic,0.205627705627706,
appli,0.205627705627706,
เจ้าหน้าที่,0.194805194805195,n
ตาม,0.194805194805195,n
กำหนด,0.194805194805195,
includ,0.194805194805195,n
analyt,0.194805194805195,y
command,0.194805194805195,
assign,0.194805194805195,
ไม่,0.194805194805195,n
corpor,0.194805194805195,n
depart,0.183982683982684,n
คุณสมบัติ,0.183982683982684,n
lead,0.183982683982684,
flow,0.183982683982684,
asset,0.183982683982684,y
contact,0.183982683982684,
model,0.183982683982684,
สามารถ,0.173160173160173,n
project,0.173160173160173,
บัญชี,0.173160173160173,
อย่าง,0.173160173160173,n
field,0.173160173160173,
assist,0.173160173160173,
statement,0.173160173160173,
high,0.173160173160173,n
analyz,0.173160173160173,y
servic,0.173160173160173,
inform,0.173160173160173,
result,0.173160173160173,
data,0.173160173160173,
ต่อ,0.162337662337662,n
salari,0.162337662337662,n
อื่นๆ,0.162337662337662,n
effect,0.162337662337662,
มีประสบการณ์,0.162337662337662,n
knowledg,0.162337662337662,
abil,0.162337662337662,
thai,0.162337662337662,n
ปริญญาตรี,0.162337662337662,n
abl,0.162337662337662,n
time,0.162337662337662,
insur,0.162337662337662,y
complianc,0.162337662337662,
benefit,0.162337662337662,
กองทุน,0.162337662337662,y
write,0.151515151515152,
ควบคุม,0.151515151515152,
ปฏิบัติงาน,0.151515151515152,n
รับมอบหมาย,0.151515151515152,n
respons,0.151515151515152,n
intern,0.151515151515152,
จาก,0.151515151515152,n
polici,0.151515151515152,
term,0.151515151515152,
prefer,0.151515151515152,
resum,0.151515151515152,n
road,0.151515151515152,n
เงินสด,0.151515151515152,
ลูกหนี้,0.151515151515152,
ระบบ,0.151515151515152,
daili,0.151515151515152,
group,0.151515151515152,n
ติดตาม,0.140692640692641,
ใช้,0.140692640692641,n
ขาย,0.140692640692641,n
function,0.140692640692641,
รับ,0.140692640692641,
posit,0.140692640692641,n
ตามที่,0.140692640692641,n
วางแผน,0.140692640692641,
person,0.140692640692641,
เป็น,0.140692640692641,n
level,0.140692640692641,n
การลงทุน,0.140692640692641,y
direct,0.140692640692641,
limit,0.140692640692641,
sale,0.12987012987013,n
ส่ง,0.12987012987013,
หน้าที่,0.12987012987013,n
annual,0.12987012987013,
cost,0.12987012987013,y
ถูกต้อง,0.12987012987013,
manufactur,0.12987012987013,
microsoft,0.12987012987013,
area,0.12987012987013,
decis,0.12987012987013,
speak,0.119047619047619,n
ประสานงาน,0.119047619047619,
industri,0.119047619047619,n
master,0.119047619047619,n
candid,0.119047619047619,n
recruit,0.119047619047619,n
อายุ,0.119047619047619,n
พัฒนา,0.119047619047619,
บริหาร,0.119047619047619,
การซื้อขาย,0.119047619047619,n
econom,0.119047619047619,y
interest,0.119047619047619,y
implement,0.119047619047619,
ดิจิทัล,0.119047619047619,
หลักเกณฑ์,0.119047619047619,n
fix,0.119047619047619,
สินทรัพย์,0.119047619047619,y
loan,0.119047619047619,y
improv,0.108225108225108,
meet,0.108225108225108,n
problem,0.108225108225108,
นโยบาย,0.108225108225108,
หน่วยงาน,0.108225108225108,n
จะ,0.108225108225108,n
ดูแล,0.108225108225108,
เป็นไปตาม,0.108225108225108,n
descript,0.108225108225108,n
แนะนำ,0.108225108225108,
นำเสนอ,0.108225108225108,
close,0.108225108225108,n
male,0.108225108225108,n
expect,0.108225108225108,
floor,0.108225108225108,n
เกี่ยวกับ,0.108225108225108,n
understand,0.108225108225108,n
send,0.108225108225108,
drive,0.108225108225108,
evalu,0.108225108225108,
เศรษฐศาสตร์,0.108225108225108,y
