word,law,YorN
legal,2.81739654479711,y
และ,1.78786661309763,n
compani,1.00441944556047,n
busi,0.96926476496585,n
work,0.914021695460024,n
การ,0.914021695460024,n
manag,0.908999598232222,
ที่,0.858778625954198,n
experi,0.773402973081559,n
document,0.723182000803536,
contract,0.703093611892326,
provid,0.627762153475291,n
ใน,0.622740056247489,n
complianc,0.587585375652873,n
ของ,0.577541181197268,n
corpor,0.577541181197268,n
งาน,0.547408597830454,n
relat,0.532342306147047,n
english,0.527320208919245,
skill,0.51727601446364,n
draft,0.51727601446364,y
year,0.497187625552431,n
agreement,0.492165528324628,y
review,0.492165528324628,
good,0.487143431096826,n
commerci,0.477099236641221,
บริษัท,0.446966653274407,n
ต่างๆ,0.441944556046605,n
สัญญา,0.441944556046605,y
ได้,0.436922458818803,n
law,0.436922458818803,y
กับ,0.431900361591,n
offic,0.411811972679791,
มี,0.396745680996384,n
กฎหมาย,0.381679389312977,y
advic,0.381679389312977,
หรือ,0.376657292085175,n
ด้าน,0.376657292085175,n
thai,0.376657292085175,n
support,0.376657292085175,
lawyer,0.376657292085175,y
qualif,0.371635194857372,n
matter,0.371635194857372,n
ให้,0.371635194857372,n
degre,0.356568903173965,n
communic,0.356568903173965,
intern,0.351546805946163,
team,0.346524708718361,
เกี่ยวข้อง,0.341502611490558,n
prepar,0.341502611490558,
regul,0.336480514262756,y
requir,0.331458417034954,n
bachelor,0.316392125351547,n
คดี,0.311370028123744,y
depart,0.306347930895942,n
ตรวจสอบ,0.30132583366814,
issu,0.296303736440337,
เอกสาร,0.28123744475693,
includ,0.276215347529128,n
negoti,0.266171153073523,
client,0.266171153073523,
candid,0.266171153073523,n
govern,0.261149055845721,
servic,0.256126958617919,
ensur,0.251104861390116,
จัดทำ,0.251104861390116,n
licens,0.251104861390116,
สามารถ,0.246082764162314,n
knowledg,0.246082764162314,
เพื่อ,0.241060666934512,n
thailand,0.241060666934512,n
case,0.241060666934512,
assist,0.236038569706709,
litig,0.236038569706709,
develop,0.231016472478907,
write,0.231016472478907,
