word,maid,YorN
ทำความสะอาด,3.56379187455453,y
แม่บ้าน,2.77975766215253,y
และ,2.20955096222381,n
ดูแล,1.92444761225944,
พนักงาน,1.85317177476835,n
ที่,1.4967925873129,n
ได้,1.4967925873129,n
งาน,1.28296507483963,n
ให้,1.21168923734854,n
รับมอบหมาย,1.14041339985745,n
บริษัท,1.06913756236636,n
ภายใน,0.997861724875267,
อื่นๆ,0.926585887384177,n
สำนักงาน,0.926585887384177,n
ตำแหน่ง,0.855310049893086,n
ตามที่,0.855310049893086,n
ใน,0.784034212401996,n
ลูกค้า,0.784034212401996,
การ,0.784034212401996,n
มี,0.784034212401996,n
ของ,0.712758374910905,n
ล้างจาน,0.712758374910905,y
ตาม,0.641482537419815,n
ปฏิบัติงาน,0.641482537419815,n
ประจำ,0.641482537419815,
ทำงาน,0.641482537419815,n
เวลา,0.641482537419815,n
น,0.641482537419815,n
ความสะอาด,0.641482537419815,y
วัน,0.641482537419815,n
เรียบร้อย,0.641482537419815,n
ต่างๆ,0.570206699928724,n
สาขา,0.570206699928724,n
บริการ,0.570206699928724,
จำกัด,0.570206699928724,
ปี,0.570206699928724,n
ห้องพัก,0.570206699928724,
ขยัน,0.498930862437634,n
อุปกรณ์,0.498930862437634,
ไม่,0.498930862437634,n
อาหาร,0.498930862437634,
หยุด,0.498930862437634,n
หรือ,0.427655024946543,n
สมัคร,0.427655024946543,n
หน้าที่,0.427655024946543,n
ติดต่อ,0.427655024946543,n
ความ,0.427655024946543,n
ร้าน,0.427655024946543,
ด่วน,0.427655024946543,n
วันหยุด,0.427655024946543,n
เสาร์,0.427655024946543,n
รับสมัคร,0.427655024946543,n
อาคาร,0.427655024946543,
กับ,0.356379187455453,n
โทร,0.356379187455453,
อายุ,0.356379187455453,n
จัดเตรียม,0.356379187455453,
ขึ้นไป,0.356379187455453,n
ผู้บริหาร,0.356379187455453,
หัวหน้า,0.356379187455453,
ราช,0.356379187455453,n
หน่วยงาน,0.285103349964362,n
ชั้น,0.285103349964362,
ความรับผิดชอบ,0.285103349964362,n
ต่อ,0.285103349964362,n
สวัสดิการ,0.285103349964362,n
เบี้ย,0.285103349964362,n
เงินเดือน,0.285103349964362,n
ฝ่าย,0.285103349964362,n
รับผิดชอบ,0.285103349964362,n
ค่า,0.285103349964362,n
โรงแรม,0.285103349964362,
วุฒิการศึกษา,0.285103349964362,n
ทั่วไป,0.285103349964362,n
บาท,0.285103349964362,n
หญิง,0.285103349964362,n
เขต,0.285103349964362,n
พื้นที่,0.285103349964362,n
อาทิตย์,0.285103349964362,n
ออฟฟิศ,0.285103349964362,n
ครัว,0.285103349964362,
ห้องน้ำ,0.285103349964362,
กาฬสินธุ์,0.285103349964362,n
ห้อง,0.285103349964362,n
พื้น,0.285103349964362,n
ดำริ,0.285103349964362,n
คุณสมบัติ,0.213827512473271,n
สามารถ,0.213827512473271,n
