word,other managers,YorN
manag,2.2910951286424,
และ,1.31978942685549,n
การ,1.06028026988952,n
custom,1.00837843849633,
team,0.778527470897902,
experi,0.756283828872247,n
ใน,0.748869281530363,n
servic,0.748869281530363,
work,0.711796544820939,n
busi,0.674723808111515,n
develop,0.65248016608586,
communic,0.645065618743976,
ของ,0.637651071402091,n
skill,0.615407429376437,n
project,0.578334692667013,
ที่,0.526432861273819,n
ให้,0.51160376659005,n
provid,0.51160376659005,n
oper,0.49677467190628,
offic,0.474531029880626,
relat,0.467116482538741,
plan,0.467116482538741,
market,0.459701935196856,
good,0.452287387854971,n
product,0.444872840513087,
ensur,0.430043745829317,
year,0.430043745829317,n
งาน,0.430043745829317,n
compani,0.415214651145547,n
requir,0.415214651145547,n
report,0.407800103803663,
มี,0.400385556461778,n
process,0.378141914436124,
support,0.378141914436124,
qualif,0.370727367094239,n
ตรวจสอบ,0.363312819752354,
สาขา,0.363312819752354,n
applic,0.348483725068584,
perform,0.3410691777267,
english,0.333654630384815,
ต่างๆ,0.333654630384815,n
respons,0.333654630384815,n
strategi,0.333654630384815,
กับ,0.32624008304293,n
lead,0.32624008304293,
ควบคุม,0.318825535701045,
ดูแล,0.318825535701045,n
ได้,0.311410988359161,n
monitor,0.311410988359161,
excel,0.311410988359161,
field,0.303996441017276,
legal,0.296581893675391,
follow,0.289167346333506,
effect,0.281752798991622,
activ,0.281752798991622,
administr,0.266923704307852,
client,0.266923704307852,
intern,0.259509156965967,
abil,0.259509156965967,
thai,0.252094609624082,n
strong,0.252094609624082,n
staff,0.252094609624082,
improv,0.244680062282198,
ลูกค้า,0.244680062282198,
knowledg,0.244680062282198,
time,0.244680062282198,
implement,0.244680062282198,
degre,0.237265514940313,n
write,0.237265514940313,
ผู้จัดการ,0.237265514940313,
prepar,0.229850967598428,
includ,0.229850967598428,n
assist,0.229850967598428,
bangkok,0.229850967598428,n
posit,0.222436420256543,n
thailand,0.222436420256543,n
relationship,0.215021872914658,
สามารถ,0.207607325572774,n
ปฏิบัติงาน,0.207607325572774,n
พนักงาน,0.207607325572774,n
polici,0.207607325572774,
เป็น,0.207607325572774,n
organ,0.207607325572774,n
bank,0.207607325572774,
shopper,0.207607325572774,
coordin,0.200192778230889,
bachelor,0.200192778230889,n
control,0.200192778230889,
บริการ,0.200192778230889,
candid,0.200192778230889,n
ด้าน,0.192778230889004,n
prefer,0.192778230889004,
inform,0.192778230889004,
review,0.192778230889004,
standard,0.185363683547119,
depart,0.185363683547119,n
เพื่อ,0.185363683547119,n
หรือ,0.185363683547119,n
abl,0.185363683547119,n
area,0.185363683547119,
direct,0.185363683547119,
บริษัท,0.177949136205235,n
ดี,0.177949136205235,n
submit,0.177949136205235,
center,0.177949136205235,
sale,0.17053458886335,
meet,0.17053458886335,n
เกี่ยวข้อง,0.17053458886335,n
target,0.17053458886335,
channel,0.17053458886335,
ภายใน,0.17053458886335,
ปี,0.17053458886335,n
issu,0.17053458886335,
role,0.17053458886335,n
build,0.17053458886335,
sourc,0.17053458886335,
region,0.17053458886335,
achiev,0.163120041521465,
minimum,0.163120041521465,
budget,0.163120041521465,
train,0.163120041521465,
ระบบ,0.163120041521465,
event,0.163120041521465,
data,0.163120041521465,
base,0.15570549417958,
qualiti,0.15570549417958,
อย่าง,0.15570549417958,n
document,0.15570549417958,
contact,0.15570549417958,
supplier,0.15570549417958,
handl,0.15570549417958,
promot,0.15570549417958,
contract,0.15570549417958,
categori,0.15570549417958,
ประสานงาน,0.148290946837696,
expect,0.148290946837696,
กำหนด,0.140876399495811,n
salari,0.140876399495811,
command,0.140876399495811,
high,0.140876399495811,n
packag,0.140876399495811,
ความปลอดภัย,0.140876399495811,
level,0.140876399495811,n
result,0.140876399495811,
motiv,0.140876399495811,
task,0.133461852153926,n
negoti,0.133461852153926,
speak,0.133461852153926,
ตาม,0.133461852153926,n
หน่วยงาน,0.133461852153926,n
จัดการ,0.133461852153926,
execut,0.133461852153926,
extern,0.133461852153926,
assign,0.133461852153926,
resum,0.133461852153926,
บริหาร,0.133461852153926,
media,0.133461852153926,
prevent,0.133461852153926,
drive,0.133461852153926,
need,0.126047304812041,
month,0.126047304812041,n
cost,0.126047304812041,
maintain,0.126047304812041,
ฝ่าย,0.126047304812041,n
account,0.126047304812041,
person,0.126047304812041,
environ,0.126047304812041,
recruit,0.126047304812041,n
success,0.126047304812041,
employe,0.126047304812041,
travel,0.126047304812041,
appli,0.126047304812041,
loss,0.126047304812041,
senior,0.118632757470156,
problem,0.118632757470156,
สินค้า,0.118632757470156,
มาตรฐาน,0.118632757470156,
industri,0.118632757470156,
complet,0.118632757470156,
มีประสบการณ์,0.118632757470156,n
identifi,0.118632757470156,n
commerci,0.118632757470156,
insur,0.118632757470156,
interest,0.118632757470156,
payrol,0.118632757470156,
fund,0.118632757470156,
stakehold,0.118632757470156,
public,0.118632757470156,
engag,0.118632757470156,
accord,0.111218210128272,
จัดทำ,0.111218210128272,n
creat,0.111218210128272,
function,0.111218210128272,
จัด,0.111218210128272,
brand,0.111218210128272,
social,0.111218210128272,
local,0.111218210128272,
duti,0.111218210128272,
solut,0.111218210128272,
research,0.103803662786387,
