word,photographer,YorN
และ,4.34782608695652,n
ถ่าย,4.34782608695652,
ช่างภาพ,4.34782608695652,y
ใน,3.26086956521739,n
ออกแบบ,3.26086956521739,
ทีม,3.26086956521739,
เพื่อ,2.17391304347826,n
จัดทำ,2.17391304347826,n
งาน,2.17391304347826,n
ดูแล,2.17391304347826,
ฝ่าย,2.17391304347826,n
การตลาด,2.17391304347826,
ออนไลน์,2.17391304347826,
สื่อ,2.17391304347826,n
ร่วมกับ,2.17391304347826,n
present,1.08695652173913,
ที่,1.08695652173913,n
ทาง,1.08695652173913,n
ด้าน,1.08695652173913,n
สมัคร,1.08695652173913,n
ทำ,1.08695652173913,n
ส่ง,1.08695652173913,
ได้,1.08695652173913,n
รับมอบหมาย,1.08695652173913,n
สินค้า,1.08695652173913,
รับ,1.08695652173913,n
ตามที่,1.08695652173913,n
design,1.08695652173913,
ทำงาน,1.08695652173913,n
รายละเอียด,1.08695652173913,n
ส่งเสริม,1.08695652173913,
เกี่ยวกับ,1.08695652173913,n
ต่อให้,1.08695652173913,n
ๆ,1.08695652173913,n
ก่อน,1.08695652173913,n
ตัดต่อ,1.08695652173913,y
สื่อสิ่งพิมพ์,1.08695652173913,
visual,1.08695652173913,
social,1.08695652173913,
media,1.08695652173913,
graphic,1.08695652173913,
ความงาม,1.08695652173913,
พี่,1.08695652173913,n
แฟชั่น,1.08695652173913,
นะคะ,1.08695652173913,n
studio,1.08695652173913,y
อ่าน,1.08695652173913,
ต้น,1.08695652173913,n
กราฟฟิค,1.08695652173913,
ภาพนิ่ง,1.08695652173913,y
display,1.08695652173913,
สายงาน,1.08695652173913,n
ตกแต่ง,1.08695652173913,
ถ่ายภาพ,1.08695652173913,y
ง,1.08695652173913,n
ภาพ,1.08695652173913,y
นักศึกษาฝึกงาน,1.08695652173913,
กราฟฟิก,1.08695652173913,
ไซต์,1.08695652173913,
ถ่ายรูป,1.08695652173913,y
เว็ป,1.08695652173913,
ฝึกงาน,1.08695652173913,
ภาพเคลื่อนไหว,1.08695652173913,y
ฉาก,1.08695652173913,y
โปรโมชัน,1.08695652173913,
รีทัช,1.08695652173913,y
เบื่อ,1.08695652173913,n
คอนเทนท์,1.08695652173913,
