word,policy and planing manager,YorN
senior,0.147155003270111,n
manag,2.5833878351864,y
base,0.196206671026815,
product,0.817527795945062,
oper,0.39241334205363,
work,0.801177240026161,n
task,0.13080444735121,n
develop,2.30542838456508,y
improv,0.179856115107914,y
ensur,0.588620013080445,
qualiti,0.196206671026815,
test,0.147155003270111,
standard,0.147155003270111,
sale,1.22629169391759,
market,1.07913669064748,
team,1.06278613472858,
offer,0.114453891432309,
custom,0.604970568999346,
coordin,0.196206671026815,
depart,0.359712230215827,n
order,0.245258338783519,
meet,0.277959450621321,n
qualif,0.327011118378025,n
bachelor,0.196206671026815,n
degre,0.327011118378025,n
relat,0.425114453891432,
year,0.621321124918247,n
research,0.245258338783519,
experi,1.01373446697188,n
present,0.457815565729235,
negoti,0.26160889470242,
problem,0.163505559189012,y
solv,0.147155003270111,y
skill,0.78482668410726,n
good,0.408763897972531,n
english,0.441465009810333,
communic,0.441465009810333,
write,0.147155003270111,
ผู้จัดการ,0.13080444735121,y
control,0.13080444735121,
และ,0.425114453891432,n
ของ,0.114453891432309,n
ที่,0.277959450621321,n
ใน,0.163505559189012,n
ให้,0.147155003270111,n
การ,0.114453891432309,n
offic,0.13080444735121,
analysi,0.408763897972531,y
งาน,0.114453891432309,n
administr,0.163505559189012,
prepar,0.245258338783519,
busi,2.95945062132113,n
plan,1.3570961412688,y
forecast,0.228907782864617,y
provid,0.310660562459124,n
target,0.425114453891432,
creat,0.310660562459124,
month,0.196206671026815,n
report,0.359712230215827,
project,0.964682799215173,
function,0.26160889470242,
salari,0.26160889470242,n
industri,0.212557226945716,n
locat,0.212557226945716,n
descript,0.114453891432309,n
posit,0.212557226945716,n
relationship,0.376062786134729,
exist,0.13080444735121,
includ,0.196206671026815,n
visit,0.114453891432309,
overse,0.179856115107914,
japanes,0.13080444735121,
director,0.179856115107914,
respons,0.441465009810333,
overal,0.163505559189012,
engin,0.13080444735121,
resourc,0.163505559189012,
maintain,0.245258338783519,
effect,0.376062786134729,
process,0.39241334205363,
perform,0.425114453891432,
compani,0.850228907782864,
lead,0.539568345323741,y
establish,0.114453891432309,
monitor,0.114453891432309,y
intern,0.26160889470242,
requir,0.376062786134729,n
achiev,0.490516677567037,
goal,0.277959450621321,
minimum,0.228907782864617,
field,0.245258338783519,
execut,0.39241334205363,
activ,0.245258338783519,
analyt,0.26160889470242,y
prove,0.179856115107914,
command,0.147155003270111,
channel,0.228907782864617,
assist,0.179856115107914,
financ,0.179856115107914,
account,0.310660562459124,
budget,0.196206671026815,
polici,0.147155003270111,y
close,0.196206671026815,n
financi,0.441465009810333,
knowledg,0.228907782864617,
high,0.245258338783519,n
leadership,0.228907782864617,y
interperson,0.163505559189012,
contact,0.212557226945716,
assign,0.13080444735121,
general,0.114453891432309,
bangkok,0.26160889470242,n
client,0.277959450621321,
person,0.179856115107914,
partnership,0.114453891432309,
thailand,0.425114453891432,n
strateg,0.327011118378025,y
brand,0.212557226945716,
identifi,0.26160889470242,
prefer,0.376062786134729,
environ,0.13080444735121,
abil,0.343361674296926,
thai,0.114453891432309,n
candid,0.310660562459124,n
resum,0.147155003270111,n
expect,0.179856115107914,
recruit,0.114453891432309,n
floor,0.13080444735121,n
road,0.147155003270111,n
ธุรกิจ,0.163505559189012,
แผน,0.13080444735121,y
understand,0.212557226945716,
opportun,0.359712230215827,
deliv,0.196206671026815,
train,0.114453891432309,
demand,0.114453891432309,
suppli,0.228907782864617,
level,0.277959450621321,n
strong,0.52321778940484,n
abl,0.294310006540222,n
trade,0.114453891432309,
success,0.114453891432309,
acquisit,0.179856115107914,
consult,0.13080444735121,
strategi,0.670372792674951,y
excel,0.343361674296926,
power,0.13080444735121,
commerci,0.163505559189012,
analyz,0.212557226945716,y
corpor,0.13080444735121,
campaign,0.114453891432309,
time,0.212557226945716,
servic,0.376062786134729,
partner,0.327011118378025,
issu,0.179856115107914,
organ,0.310660562459124,n
inform,0.277959450621321,
result,0.179856115107914,
applic,0.26160889470242,
price,0.147155003270111,
review,0.196206671026815,
support,0.52321778940484,
area,0.163505559189012,
local,0.179856115107914,
role,0.147155003270111,n
invest,0.327011118378025,
govern,0.114453891432309,y
interest,0.13080444735121,
send,0.114453891432309,
build,0.376062786134729,
direct,0.147155003270111,
action,0.13080444735121,
consum,0.147155003270111,
collabor,0.13080444735121,
help,0.13080444735121,
potenti,0.196206671026815,
initi,0.196206671026815,
effici,0.13080444735121,
appli,0.228907782864617,
group,0.114453891432309,
data,0.327011118378025,
appropri,0.13080444735121,
model,0.163505559189012,
stakehold,0.179856115107914,
implement,0.474166121648136,
conduct,0.147155003270111,
drive,0.376062786134729,
hotel,0.114453891432309,
relev,0.228907782864617,
defin,0.114453891432309,
chain,0.163505559189012,
object,0.376062786134729,
solut,0.294310006540222,
categori,0.196206671026815,
assess,0.196206671026815,
educ,0.13080444735121,
motiv,0.13080444735121,
deal,0.196206671026815,
region,0.114453891432309,
institut,0.147155003270111,
supermarket,0.114453891432309,
retail,0.212557226945716,
profit,0.245258338783519,
expand,0.114453891432309,
growth,0.245258338783519,
make,0.114453891432309,n
outlet,0.13080444735121,
sector,0.114453891432309,
distributor,0.179856115107914,
fumig,0.114453891432309,n
