word,pr + ae,YorN
และ,2.18717139852787,n
sale,1.42306344199089,
ลูกค้า,1.24079915878023,
ขาย,1.11461619348055,
การ,1.07255520504732,n
market,0.869260427620049,
ที่,0.841219768664564,n
ของ,0.834209603925692,n
ใน,0.799158780231335,n
ให้,0.729057132842622,n
งาน,0.72204696810375,n
กับ,0.686996144409394,n
custom,0.630914826498423,
มี,0.630914826498423,n
ได้,0.630914826498423,n
สินค้า,0.602874167542937,
work,0.546792849631966,n
ต่างๆ,0.518752190676481,n
บริษัท,0.504731861198738,n
manag,0.490711531720995,
communic,0.490711531720995,y
การตลาด,0.483701366982124,
ดูแล,0.476691202243253,
experi,0.455660708026639,n
skill,0.441640378548896,n
client,0.427620049071153,
ตำแหน่ง,0.41359971959341,n
busi,0.392569225376796,n
relat,0.385559060637925,n
ประสานงาน,0.385559060637925,
เพื่อ,0.385559060637925,
ตาม,0.378548895899054,n
execut,0.371538731160182,
เจ้าหน้าที่,0.364528566421311,n
media,0.336487907465825,y
good,0.329477742726954,n
ติดต่อ,0.329477742726954,
develop,0.322467577988083,
product,0.315457413249211,
จัดทำ,0.315457413249211,n
team,0.30844724851034,
year,0.30844724851034,n
ออนไลน์,0.30844724851034,y
ด้าน,0.301437083771469,n
digit,0.301437083771469,y
สามารถ,0.294426919032597,n
หรือ,0.287416754293726,n
บริการ,0.280406589554854,
compani,0.273396424815983,n
ประชาสัมพันธ์,0.273396424815983,y
english,0.266386260077112,
สาขา,0.252365930599369,n
รับมอบหมาย,0.252365930599369,n
plan,0.252365930599369,
อื่นๆ,0.252365930599369,n
onlin,0.252365930599369,y
อย่าง,0.245355765860498,n
สื่อ,0.245355765860498,y
พื้นที่,0.238345601121626,
ใหม่,0.231335436382755,n
รับผิดชอบ,0.231335436382755,n
ปี,0.231335436382755,n
ยอดขาย,0.231335436382755,
ใช้,0.224325271643884,n
servic,0.224325271643884,
ทาง,0.217315106905012,n
bangkok,0.217315106905012,n
เป้าหมาย,0.217315106905012,
respons,0.210304942166141,n
requir,0.203294777427269,n
ผลิตภัณฑ์,0.203294777427269,
strategi,0.203294777427269,
campaign,0.203294777427269,y
social,0.203294777427269,y
qualif,0.196284612688398,n
report,0.196284612688398,
salari,0.196284612688398,
ข้อมูล,0.196284612688398,
order,0.189274447949527,
degre,0.189274447949527,n
ดี,0.189274447949527,n
รายงาน,0.189274447949527,
relationship,0.189274447949527,
field,0.189274447949527,
coordin,0.182264283210655,
เกี่ยวข้อง,0.182264283210655,n
provid,0.182264283210655,n
industri,0.182264283210655,n
activ,0.182264283210655,
abil,0.182264283210655,
เป็น,0.182264283210655,n
bachelor,0.175254118471784,n
offic,0.175254118471784,
maintain,0.175254118471784,
วางแผน,0.175254118471784,
พร้อม,0.175254118471784,n
บริษัทฯ,0.175254118471784,n
write,0.168243953732913,
กำหนด,0.168243953732913,
นำเสนอ,0.168243953732913,
ตามที่,0.168243953732913,n
รับ,0.161233788994041,n
สร้าง,0.161233788994041,
build,0.161233788994041,
ensur,0.15422362425517,
need,0.15422362425517,
intern,0.15422362425517,n
ช่องทาง,0.15422362425517,n
thai,0.15422362425517,n
กลุ่ม,0.15422362425517,n
วัน,0.15422362425517,n
facebook,0.15422362425517,
ติดตาม,0.147213459516299,
ประจำปี,0.147213459516299,
ประจำ,0.147213459516299,
knowledg,0.147213459516299,
เสนอ,0.147213459516299,
strong,0.147213459516299,n
present,0.140203294777427,
วิเคราะห์,0.140203294777427,
เอกสาร,0.140203294777427,
คุณสมบัติ,0.140203294777427,n
จะ,0.140203294777427,n
ปฏิบัติงาน,0.140203294777427,n
พนักงานขาย,0.140203294777427,
ฝ่าย,0.140203294777427,n
ทำงาน,0.140203294777427,n
ส่งเสริม,0.140203294777427,
ไม่,0.140203294777427,n
ขึ้นไป,0.140203294777427,n
หา,0.140203294777427,n
trade,0.140203294777427,
excel,0.140203294777427,
โฆษณา,0.140203294777427,y
drive,0.140203294777427,
public,0.140203294777427,
เช่น,0.133193130038556,n
ต่อ,0.133193130038556,n
แก่,0.133193130038556,n
สำหรับ,0.133193130038556,n
จาก,0.133193130038556,n
assist,0.133193130038556,
supplier,0.133193130038556,
สื่อสาร,0.133193130038556,
เขต,0.133193130038556,
area,0.133193130038556,
potenti,0.133193130038556,
speak,0.126182965299685,
โครงการ,0.126182965299685,
ผ่าน,0.126182965299685,n
ทำ,0.126182965299685,n
target,0.126182965299685,
includ,0.126182965299685,n
สวัสดิการ,0.126182965299685,n
ราย,0.126182965299685,n
line,0.126182965299685,
channel,0.126182965299685,
candid,0.126182965299685,n
websit,0.126182965299685,
เกี่ยวกับ,0.126182965299685,n
บริหาร,0.126182965299685,
เสนอขาย,0.126182965299685,
content,0.126182965299685,
time,0.126182965299685,
adventur,0.126182965299685,
task,0.119172800560813,n
posit,0.119172800560813,n
จำกัด,0.119172800560813,n
abl,0.119172800560813,n
เดือน,0.119172800560813,n
creat,0.112162635821942,
project,0.112162635821942,
เพื่อให้,0.112162635821942,n
พนักงาน,0.112162635821942,n
locat,0.112162635821942,n
perform,0.112162635821942,
command,0.112162635821942,
thailand,0.112162635821942,n
รายละเอียด,0.112162635821942,n
ความ,0.112162635821942,n
การทำงาน,0.112162635821942,n
ภายใน,0.112162635821942,
อายุ,0.112162635821942,n
นำ,0.112162635821942,n
ไป,0.112162635821942,n
กิจกรรม,0.112162635821942,
ด่วน,0.112162635821942,n
รับสมัคร,0.112162635821942,n
benefit,0.112162635821942,
event,0.112162635821942,
data,0.112162635821942,
meet,0.10515247108307,n
เป็นพิเศษ,0.10515247108307,n
คุณ,0.10515247108307,n
descript,0.10515247108307,n
monitor,0.10515247108307,
account,0.10515247108307,
person,0.10515247108307,
