word,product,YorN
product,2.73921895243383,y
และ,1.81380714417916,n
develop,1.1290024060707,y
ที่,1.1290024060707,n
ใน,1.1290024060707,n
การ,0.999444752915047,n
ของ,0.925411808254673,n
work,0.869887099759393,n
ฝ่าย,0.869887099759393,n
manag,0.814362391264113,
ผลิตภัณฑ์,0.777345918933926,y
ผลิต,0.703312974273552,y
sale,0.666296501943365,
ให้,0.610771793448084,n
custom,0.573755321117898,
experi,0.573755321117898,n
งาน,0.573755321117898,n
qualiti,0.555247084952804,
team,0.555247084952804,
ข้อมูล,0.536738848787711,
มี,0.499722376457524,n
ได้,0.499722376457524,n
plan,0.499722376457524,n
จัดทำ,0.48121414029243,n
การผลิต,0.48121414029243,y
skill,0.462705904127337,n
กับ,0.462705904127337,n
requir,0.462705904127337,n
support,0.462705904127337,
market,0.444197667962243,
process,0.444197667962243,
คุณภาพ,0.444197667962243,y
good,0.42568943179715,n
เกี่ยวข้อง,0.42568943179715,n
เพื่อ,0.42568943179715,n
เอกสาร,0.42568943179715,
ต่างๆ,0.407181195632056,n
ตำแหน่ง,0.388672959466963,n
control,0.370164723301869,y
ระบบ,0.351656487136776,
ensur,0.333148250971682,
year,0.333148250971682,n
communic,0.333148250971682,
ประสานงาน,0.333148250971682,
ด้าน,0.333148250971682,n
perform,0.333148250971682,
พัฒนา,0.333148250971682,y
technic,0.333148250971682,
เจ้าหน้าที่,0.314640014806589,n
oper,0.296131778641495,
ควบคุม,0.296131778641495,y
หน่วยงาน,0.296131778641495,n
ลูกค้า,0.296131778641495,
ใช้,0.296131778641495,n
busi,0.296131778641495,n
พนักงาน,0.296131778641495,n
standard,0.277623542476402,y
relat,0.277623542476402,
problem,0.277623542476402,
ตาม,0.277623542476402,n
report,0.277623542476402,
time,0.277623542476402,
วิจัยและพัฒนา,0.277623542476402,
ตรวจสอบ,0.259115306311308,y
project,0.259115306311308,
อื่นๆ,0.259115306311308,n
thailand,0.259115306311308,n
regul,0.259115306311308,
โรงงาน,0.259115306311308,y
coordin,0.240607070146215,
depart,0.240607070146215,
english,0.240607070146215,
หรือ,0.240607070146215,n
relev,0.240607070146215,
specif,0.240607070146215,
qualif,0.222098833981122,
degre,0.222098833981122,n
วิเคราะห์,0.222098833981122,
บริษัท,0.222098833981122,n
offic,0.222098833981122,
ดูแล,0.222098833981122,n
อย่าง,0.222098833981122,n
respons,0.222098833981122,n
activ,0.222098833981122,
audit,0.222098833981122,
solv,0.203590597816028,
medic,0.203590597816028,
ทาง,0.203590597816028,n
สามารถ,0.203590597816028,n
รายงาน,0.203590597816028,
รับมอบหมาย,0.203590597816028,n
document,0.203590597816028,
intern,0.203590597816028,n
ทำงาน,0.203590597816028,n
knowledg,0.203590597816028,
abil,0.203590597816028,
การทำงาน,0.203590597816028,n
follow,0.203590597816028,
meet,0.185082361650935,n
สาขา,0.185082361650935,n
ปฏิบัติงาน,0.185082361650935,n
สินค้า,0.185082361650935,y
salari,0.185082361650935,n
engin,0.185082361650935,
materi,0.185082361650935,y
compani,0.185082361650935,n
field,0.185082361650935,
วางแผน,0.185082361650935,
จาก,0.185082361650935,n
เป็น,0.185082361650935,n
abl,0.185082361650935,n
servic,0.185082361650935,
applic,0.185082361650935,
implement,0.185082361650935,
devic,0.185082361650935,
test,0.166574125485841,
provid,0.166574125485841,n
ติดต่อ,0.166574125485841,
industri,0.166574125485841,n
lead,0.166574125485841,y
health,0.166574125485841,
safeti,0.166574125485841,
assign,0.166574125485841,
environ,0.166574125485841,
อุปกรณ์,0.166574125485841,
understand,0.166574125485841,
commerci,0.166574125485841,
issu,0.166574125485841,
data,0.166574125485841,
ใหม่,0.148065889320748,n
ดี,0.148065889320748,n
ทำ,0.148065889320748,n
function,0.148065889320748,
มาตรฐาน,0.148065889320748,y
manufactur,0.148065889320748,y
ประจำปี,0.148065889320748,
นำเสนอ,0.148065889320748,
execut,0.148065889320748,
ปรับปรุง,0.148065889320748,
การพัฒนา,0.148065889320748,
train,0.148065889320748,n
ทั่วไป,0.148065889320748,n
level,0.148065889320748,n
result,0.148065889320748,
area,0.148065889320748,
role,0.148065889320748,n
object,0.148065889320748,
improv,0.129557653155654,
ติดตาม,0.129557653155654,
คุณสมบัติ,0.129557653155654,n
ทักษะ,0.129557653155654,n
prepar,0.129557653155654,
target,0.129557653155654,
creat,0.129557653155654,
กำหนด,0.129557653155654,
locat,0.129557653155654,n
posit,0.129557653155654,n
ตามที่,0.129557653155654,n
establish,0.129557653155654,
thai,0.129557653155654,n
expect,0.129557653155654,
แผนก,0.129557653155654,n
ตลอดจน,0.129557653155654,n
ด่วน,0.129557653155654,n
organ,0.129557653155654,n
travel,0.129557653155654,
ชุมชน,0.129557653155654,
วัตถุดิบ,0.129557653155654,y
produc,0.129557653155654,y
cross,0.129557653155654,n
ใช้งาน,0.129557653155654,n
การวางแผน,0.129557653155654,
electron,0.129557653155654,
approv,0.129557653155654,
particip,0.129557653155654,
halal,0.129557653155654,
bachelor,0.111049416990561,n
ระดับ,0.111049416990561,n
ภาษาอังกฤษ,0.111049416990561,
month,0.111049416990561,n
cost,0.111049416990561,
บันทึก,0.111049416990561,
ธุรการ,0.111049416990561,
descript,0.111049416990561,n
maintain,0.111049416990561,
effect,0.111049416990561,
minimum,0.111049416990561,
design,0.111049416990561,
account,0.111049416990561,
care,0.111049416990561,
prefer,0.111049416990561,
resum,0.111049416990561,n
websit,0.111049416990561,
จำกัด,0.111049416990561,n
อยู่,0.111049416990561,n
สนับสนุน,0.111049416990561,
ปริญญาตรี,0.111049416990561,n
มีประสิทธิภาพ,0.111049416990561,n
วัน,0.111049416990561,n
เหมาะสม,0.111049416990561,n
updat,0.111049416990561,
excel,0.111049416990561,
analyz,0.111049416990561,
specialist,0.111049416990561,
schedul,0.111049416990561,
inform,0.111049416990561,
certif,0.111049416990561,
varieti,0.111049416990561,
