word,retail manager,YorN
และ,3.39854039815175,n
การ,1.93893854989852,n
ร้าน,1.78347799801356,y
ใน,1.72302111672496,n
สาขา,1.4336917562724,y
ให้,1.36027982899339,n
ของ,1.28686790171438,n
ดูแล,1.2393660664162,
ที่,1.23072936908926,n
ผู้จัดการ,0.984583495271408,y
งาน,0.958673403290582,n
manag,0.87230643002116,y
พนักงาน,0.863669732694218,
บริการ,0.83344129204992,
ลูกค้า,0.820486246059507,
มี,0.772984410761325,n
ได้,0.772984410761325,n
ภายใน,0.751392667443969,
ดี,0.716845878136201,n
บริหาร,0.647752299520663,y
สามารถ,0.639115602193721,n
เป็น,0.63479725353025,n
ควบคุม,0.578658720905126,y
ทำงาน,0.548430280260828,n
ตาม,0.496610096299175,n
อาหาร,0.462063306991406,
จัดการ,0.427516517683638,y
การทำงาน,0.418879820356696,n
กับ,0.414561471693224,n
ด้าน,0.414561471693224,n
ตำแหน่ง,0.410243123029753,n
อย่าง,0.410243123029753,n
ต่างๆ,0.39728807703934,n
บริษัท,0.392969728375869,n
ผู้ช่วย,0.384333031048927,
รับผิดชอบ,0.384333031048927,n
ความ,0.380014682385456,n
ยอดขาย,0.380014682385456,
เรื่อง,0.367059636395042,n
ปี,0.349786241741158,n
มาตรฐาน,0.341149544414216,
หรือ,0.332512847087274,n
ปฎิบัติ,0.332512847087274,n
สินค้า,0.332512847087274,
กะ,0.332512847087274,
อายุ,0.332512847087274,n
ทุก,0.31955780109686,n
sale,0.310921103769918,
หน้าที่,0.302284406442976,n
oper,0.293647709116034,
กำหนด,0.285011011789092,n
ค่าใช้จ่าย,0.280692663125621,
คุณ,0.27637431446215,n
โทร,0.27637431446215,n
ขาย,0.27637431446215,
ให้บริการ,0.27637431446215,
store,0.267737617135207,y
เพื่อ,0.259100919808265,n
เป็นไปตาม,0.254782571144794,n
คุณสมบัติ,0.250464222481323,n
รับ,0.241827525154381,
ร้านอาหาร,0.241827525154381,y
รักษา,0.233190827827439,
แก่,0.228872479163968,n
retail,0.228872479163968,y
รับมอบหมาย,0.224554130500497,n
รายละเอียด,0.224554130500497,n
