word,sale,YorN
และ,2.47060943200757,n
ลูกค้า,1.95937119949552,y
ขาย,1.63731363452097,y
sale,1.39633349849106,y
การ,1.34002972839061,n
ที่,1.28372595829017,n
สินค้า,1.21616143416963,y
ให้,1.05400657628035,n
ใน,1.02923291743615,n
ได้,0.912121075627224,n
ของ,0.878338813566956,n
งาน,0.871582361154903,n
มี,0.846808702310707,n
กับ,0.704923201657583,n
custom,0.63510652673303,y
ดูแล,0.497725327687942,
บริษัท,0.463943065627674,n
สาขา,0.448178009999549,n
พนักงานขาย,0.443673708391514,y
ตาม,0.432412954371425,n
ตำแหน่ง,0.430160803567407,n
วัน,0.430160803567407,n
เพื่อ,0.412143597135264,n
สามารถ,0.405387144723211,n
ทำงาน,0.398630692311157,n
บริการ,0.396378541507139,
ต่างๆ,0.391874239899104,n
ประจำ,0.38511778748705,
busi,0.378361335074997,n
ประสานงาน,0.360344128642854,
หรือ,0.3535876762308,n
ใหม่,0.340074771406693,n
ยอดขาย,0.337822620602675,y
ติดต่อ,0.33331831899464,n
product,0.328814017386604,
ดี,0.322057564974551,n
work,0.310796810954461,n
manag,0.304040358542408,
market,0.30178820773839,
experi,0.30178820773839,n
อื่นๆ,0.30178820773839,n
ด้าน,0.295031755326337,n
พื้นที่,0.295031755326337,
ข้อมูล,0.292779604522319,
ไม่,0.290527453718301,n
รับมอบหมาย,0.288275302914283,n
ผลิตภัณฑ์,0.286023152110265,y
skill,0.28151885050223,n
กำหนด,0.274762398090176,n
compani,0.27025809648214,n
ทาง,0.268005945678123,n
เป็น,0.265753794874105,n
client,0.263501644070087,
รับผิดชอบ,0.258997342462051,n
good,0.24998873924598,n
year,0.247736588441962,n
อย่าง,0.245484437637944,n
servic,0.245484437637944,
เสนอขาย,0.243232286833926,y
ปี,0.240980136029908,n
แนะนำ,0.234223683617855,
เจ้าหน้าที่,0.231971532813837,n
แก่,0.225215080401784,n
เดือน,0.220710778793748,n
พนักงาน,0.216206477185712,n
ฐาน,0.216206477185712,n
เงินเดือน,0.213954326381694,n
บริษัทฯ,0.213954326381694,n
ทำ,0.211702175577677,n
english,0.204945723165623,
จัดทำ,0.204945723165623,n
ค่า,0.204945723165623,n
develop,0.202693572361605,
จะ,0.200441421557587,n
communic,0.195937119949552,
execut,0.195937119949552,
เกี่ยวข้อง,0.191432818341516,n
นำเสนอ,0.189180667537498,
ตามที่,0.189180667537498,n
target,0.18692851673348,
รับสมัคร,0.184676365929463,n
รายได้,0.182424215125445,n
บาท,0.182424215125445,n
relat,0.177919913517409,
เอกสาร,0.177919913517409,
รับ,0.177919913517409,
การทำงาน,0.177919913517409,n
มีประสบการณ์,0.173415611909373,n
ใช้,0.171163461105356,n
เช่น,0.171163461105356,n
relationship,0.171163461105356,
หา,0.171163461105356,n
ราย,0.168911310301338,n
รถยนต์,0.168911310301338,
field,0.16665915949732,
คุณสมบัติ,0.164407008693302,n
รายงาน,0.164407008693302,
จาก,0.162154857889284,n
ร้าน,0.162154857889284,
ขึ้นไป,0.162154857889284,n
ออก,0.159902707085266,n
ต่อ,0.159902707085266,n
ฝ่ายขาย,0.159902707085266,
support,0.159902707085266,
การตลาด,0.157650556281249,
เขต,0.157650556281249,
offic,0.155398405477231,
สวัสดิการ,0.155398405477231,
กลุ่ม,0.155398405477231,n
degre,0.153146254673213,n
เป้าหมาย,0.153146254673213,
bachelor,0.150894103869195,n
ทุก,0.150894103869195,n
อายุ,0.150894103869195,n
นำ,0.148641953065177,n
รายละเอียด,0.144137651457141,n
พร้อม,0.144137651457141,n
เป็นพิเศษ,0.141885500653124,n
bangkok,0.141885500653124,n
ติดตาม,0.139633349849106,
เกี่ยวกับ,0.139633349849106,n
salari,0.137381199045088,n
team,0.13512904824107,
ให้บริการ,0.13512904824107,
activ,0.13512904824107,
วันหยุด,0.13512904824107,n
requir,0.132876897437052,n
ประกัน,0.132876897437052,
ประจำปี,0.130624746633035,n
ร้านค้า,0.130624746633035,
ด่วน,0.130624746633035,n
qualif,0.126120445024999,n
achiev,0.126120445024999,
plan,0.123868294220981,
provid,0.123868294220981,n
report,0.123868294220981,
account,0.123868294220981,
เพิ่ม,0.123868294220981,
time,0.123868294220981,
ห้าง,0.123868294220981,
ผ่าน,0.121616143416963,n
ปริญญาตรี,0.121616143416963,n
เสาร์,0.121616143416963,n
หยุด,0.121616143416963,n
ฝ่าย,0.119363992612945,n
excel,0.119363992612945,
maintain,0.117111841808927,
สร้าง,0.117111841808927,n
repres,0.11485969100491,
sell,0.11485969100491,y
thai,0.112607540200892,n
ความ,0.112607540200892,n
ไป,0.112607540200892,n
true,0.112607540200892,n
ปฏิบัติงาน,0.110355389396874,n
ธนาคาร,0.110355389396874,
order,0.108103238592856,
ส่ง,0.108103238592856,n
ธุรกิจ,0.108103238592856,
คอมมิชชั่น,0.108103238592856,y
ภายใน,0.108103238592856,n
คุณ,0.105851087788838,n
exist,0.105851087788838,
contact,0.105851087788838,
ให้ได้,0.105851087788838,n
ปิด,0.105851087788838,n
coordin,0.10359893698482,
respons,0.10359893698482,n
assign,0.10359893698482,
พิจารณา,0.10359893698482,
ทีม,0.10359893698482,
abl,0.10359893698482,n
present,0.101346786180803,
ความรับผิดชอบ,0.101346786180803,n
หลัง,0.101346786180803,n
