word,security + safety,YorN
และ,3.73961218836565,n
การ,2.96398891966759,n
ความปลอดภัย,2.60387811634349,y
ใน,2.38227146814404,n
ของ,1.93905817174515,n
ที่,1.71745152354571,n
สาขา,1.66204986149584,
ตรวจสอบ,1.32963988919668,
ดูแล,1.30193905817175,
ให้,1.16343490304709,n
ต่างๆ,0.858725761772853,n
พื้นที่,0.858725761772853,
ตาม,0.831024930747922,n
ทรัพย์สิน,0.720221606648199,
รักษา,0.692520775623269,
ป้องกัน,0.692520775623269,y
สูญเสีย,0.692520775623269,y
ปฏิบัติงาน,0.664819944598338,n
เจ้าหน้าที่,0.637119113573407,n
บริษัท,0.637119113573407,n
ด้าน,0.637119113573407,n
งาน,0.637119113573407,n
ควบคุม,0.609418282548476,
มี,0.609418282548476,n
กำหนด,0.609418282548476,n
พนักงาน,0.609418282548476,n
รปภ,0.581717451523546,y
ได้,0.526315789473684,n
ประจำ,0.526315789473684,
secur,0.526315789473684,y
รายงาน,0.498614958448753,
ภายใน,0.470914127423823,
กับ,0.443213296398892,n
ลูกค้า,0.443213296398892,
หรือ,0.443213296398892,n
safeti,0.415512465373961,y
การป้องกัน,0.415512465373961,y
เพื่อ,0.38781163434903,n
ปี,0.38781163434903,n
รถ,0.38781163434903,
เหตุการณ์,0.38781163434903,n
การทำงาน,0.3601108033241,n
ขึ้นไป,0.3601108033241,n
หน่วยงาน,0.332409972299169,n
จาก,0.332409972299169,n
ประจำวัน,0.332409972299169,
เพลิง,0.332409972299169,
ตำแหน่ง,0.304709141274238,n
ประสานงาน,0.304709141274238,
ดี,0.304709141274238,n
ผู้บังคับบัญชา,0.304709141274238,
อุปกรณ์,0.304709141274238,
บาท,0.304709141274238,n
ดำเนินงาน,0.304709141274238,n
เมื่อ,0.304709141274238,n
จุด,0.304709141274238,n
ได้รับ,0.277008310249307,n
เบิก,0.277008310249307,n
มีประสบการณ์,0.277008310249307,n
ความ,0.277008310249307,n
แผน,0.277008310249307,
prevent,0.277008310249307,
ปัญหา,0.277008310249307,
หัวหน้า,0.277008310249307,n
ที่อยู่,0.277008310249307,n
เข้าออก,0.277008310249307,
manag,0.249307479224377,
เกี่ยวข้อง,0.249307479224377,n
จัดการ,0.249307479224377,n
เปิด,0.249307479224377,n
สินค้า,0.249307479224377,
มาตรฐาน,0.249307479224377,
ต่อ,0.249307479224377,n
ตรวจ,0.249307479224377,
ให้บริการ,0.249307479224377,
วัน,0.249307479224377,n
train,0.249307479224377,
เข้า,0.249307479224377,n
ความพร้อม,0.249307479224377,n
สอบสวน,0.249307479224377,
ดับ,0.249307479224377,n
พนักงานรักษาความปลอดภัย,0.249307479224377,y
จ่าย,0.221606648199446,n
ผ่าน,0.221606648199446,n
รับ,0.221606648199446,n
ทั้ง,0.221606648199446,n
ตามที่,0.221606648199446,n
compani,0.221606648199446,n
center,0.221606648199446,n
เรื่อง,0.221606648199446,n
ไม่,0.221606648199446,n
เกิด,0.221606648199446,n
ด่วน,0.221606648199446,n
รับสมัคร,0.221606648199446,n
interest,0.221606648199446,
loss,0.221606648199446,
ดูแลรักษา,0.221606648199446,
วิชาชีพ,0.221606648199446,n
qualif,0.193905817174515,n
experi,0.193905817174515,n
จัดทำ,0.193905817174515,n
เพศชาย,0.193905817174515,n
ความรับผิดชอบ,0.193905817174515,n
เงิน,0.193905817174515,n
บริการ,0.193905817174515,
ผู้,0.193905817174515,n
อื่นๆ,0.193905817174515,n
ทำงาน,0.193905817174515,n
submit,0.193905817174515,
resum,0.193905817174515,n
บาง,0.193905817174515,n
อายุ,0.193905817174515,n
วุฒิการศึกษา,0.193905817174515,n
ภายนอก,0.193905817174515,
เรียบร้อย,0.193905817174515,n
รายการ,0.193905817174515,
product,0.166204986149584,
develop,0.166204986149584,
detail,0.166204986149584,
สามารถ,0.166204986149584,n
current,0.166204986149584,n
จัด,0.166204986149584,n
เป็นไปตาม,0.166204986149584,n
แก่,0.166204986149584,n
ฝึกอบรม,0.166204986149584,
expect,0.166204986149584,
รับผิดชอบ,0.166204986149584,n
กะ,0.166204986149584,y
การรักษา,0.166204986149584,
บริษัทฯ,0.166204986149584,n
ปวส,0.166204986149584,n
พิจารณา,0.166204986149584,n
updat,0.166204986149584,
ข้อเสนอแนะ,0.166204986149584,
applic,0.166204986149584,
ชี้แจง,0.166204986149584,n
พบ,0.166204986149584,n
recent,0.166204986149584,n
ว่า,0.166204986149584,n
home,0.166204986149584,n
public,0.166204986149584,n
limit,0.166204986149584,
จป,0.166204986149584,n
salarieswith,0.166204986149584,n
photograph,0.166204986149584,
bangkhen,0.166204986149584,n
muang,0.166204986149584,n
nonthaburi,0.166204986149584,n
อาคาร,0.166204986149584,
กุญแจ,0.166204986149584,
ปิดประตู,0.166204986149584,y
ลานจอดรถ,0.166204986149584,y
สัญญาณ,0.166204986149584,y
เตือนภัย,0.166204986149584,y
อนามัย,0.166204986149584,
นร,0.166204986149584,n
ปภ,0.166204986149584,n
work,0.138504155124654,n
relat,0.138504155124654,
อำนวยความสะดวก,0.138504155124654,
offic,0.138504155124654,
ระดับ,0.138504155124654,n
ชุด,0.138504155124654,n
ส่ง,0.138504155124654,n
เช็ค,0.138504155124654,n
รับมอบหมาย,0.138504155124654,n
provid,0.138504155124654,n
report,0.138504155124654,
งา,0.138504155124654,n
respons,0.138504155124654,n
ฝ่าย,0.138504155124654,n
ไว้,0.138504155124654,n
อยู่,0.138504155124654,n
ข้อมูล,0.138504155124654,
แผนก,0.138504155124654,n
รวมถึง,0.138504155124654,n
หา,0.138504155124654,n
employe,0.138504155124654,
ผล,0.138504155124654,n
รอบ,0.138504155124654,n
จ,0.138504155124654,n
สูญหาย,0.138504155124654,y
อาชีว,0.138504155124654,
โบก,0.138504155124654,n
oper,0.110803324099723,
ensur,0.110803324099723,
ผู้จัดการ,0.110803324099723,
เอกสาร,0.110803324099723,
จะ,0.110803324099723,n
ใช้,0.110803324099723,n
แล้ว,0.110803324099723,n
ปฎิบัติ,0.110803324099723,n
โดย,0.110803324099723,n
โทร,0.110803324099723,n
อย่าง,0.110803324099723,n
บันทึก,0.110803324099723,
ติดต่อ,0.110803324099723,
perform,0.110803324099723,
monitor,0.110803324099723,
requir,0.110803324099723,n
เป็น,0.110803324099723,n
มนุษย์,0.110803324099723,n
สัมพันธ์,0.110803324099723,
เริ่ม,0.110803324099723,n
เวลา,0.110803324099723,n
รวม,0.110803324099723,n
รวมทั้ง,0.110803324099723,n
การนำ,0.110803324099723,n
ระบบ,0.110803324099723,
เป็นต้น,0.110803324099723,n
บุคคล,0.110803324099723,
หมู่บ้าน,0.110803324099723,
ครบ,0.110803324099723,
ปฏิบัติตาม,0.110803324099723,n
ส่วน,0.110803324099723,n
การปฏิบัติ,0.110803324099723,n
สมบูรณ์,0.110803324099723,n
เกิดขึ้น,0.110803324099723,n
มาก,0.110803324099723,n
บิ๊กซี,0.110803324099723,
ลา,0.110803324099723,n
แก้ไข,0.110803324099723,n
มาตรการ,0.110803324099723,n
ข้อเสนอ,0.110803324099723,n
เรียก,0.110803324099723,n
เกิดเหตุ,0.110803324099723,
จราจร,0.110803324099723,y
