word,stem,YorN
senior,0.119438638399522,n
manag,1.30785309047477,
product,0.406091370558376,
oper,0.286652732158853,
work,0.61510898775754,
develop,0.435951030158256,
improv,0.119438638399522,
ensur,0.376231710958495,
qualiti,0.256793072558973,
test,0.173186025679307,
standard,0.125410570319498,
sale,0.298596595998806,
market,0.274708868318901,
team,0.477754553598089,
custom,0.304568527918782,
coordin,0.167214093759331,
depart,0.131382502239474,n
meet,0.209017617199164,n
qualif,0.197073753359212,n
bachelor,0.191101821439236,n
degre,0.244849208719021,n
relat,0.340400119438638,n
year,0.32248432367871,n
experi,0.53747387279785,n
present,0.119438638399522,
negoti,0.101522842639594,
problem,0.10749477455957,
skill,0.370259779038519,n
good,0.304568527918782,n
english,0.21498954911914,
communic,0.298596595998806,
write,0.119438638399522,
control,0.203045685279188,
ตำแหน่ง,0.203045685279188,n
เจ้าหน้าที่,0.161242161839355,n
ควบคุม,0.185129889519259,
วิเคราะห์,0.131382502239474,
และ,2.06628844431173,n
ตรวจสอบ,0.280680800238877,
ตาม,0.250821140638997,n
ของ,0.722603762317109,n
บริษัท,0.185129889519259,n
ประสานงาน,0.137354434159451,
กับ,0.376231710958495,n
หน่วยงาน,0.143326366079427,n
ต่างๆ,0.292624664078829,n
ที่,0.889817856076441,n
เกี่ยวข้อง,0.191101821439236,n
เพื่อ,0.334428187518662,n
ใน,1.08689160943565,n
ติดตาม,0.119438638399522,
ลูกค้า,0.209017617199164,
ให้,0.627052851597492,n
การ,1.24813377127501,n
ใหม่,0.131382502239474,n
จัดทำ,0.220961481039116,n
medic,0.161242161839355,
technolog,0.101522842639594,
offic,0.197073753359212,
analysi,0.137354434159451,
ผู้ช่วย,0.10749477455957,
คุณสมบัติ,0.179157957599283,n
สาขา,0.328456255598686,n
หรือ,0.376231710958495,n
ทาง,0.119438638399522,n
ด้าน,0.591221260077635,n
จะ,0.101522842639594,n
มี,0.519558077037922,n
ใช้,0.179157957599283,n
สามารถ,0.316512391758734,n
คอมพิวเตอร์,0.10749477455957,
ดี,0.232905344879068,n
งาน,0.788295013436847,n
ปฎิบัติ,0.101522842639594,n
เช่น,0.101522842639594,n
ทำ,0.179157957599283,n
ปฏิบัติงาน,0.250821140638997,n
พยาบาล,0.149298297999403,
หน้าที่,0.101522842639594,n
รายงาน,0.185129889519259,
ได้,0.477754553598089,n
รับมอบหมาย,0.10749477455957,
prepar,0.185129889519259,
busi,0.376231710958495,n
plan,0.382203642878471,
provid,0.256793072558973,n
report,0.280680800238877,
cost,0.155270229919379,
project,0.75246342191699,
สินค้า,0.10749477455957,
บริการ,0.226933412959092,
ดูแล,0.328456255598686,n
จัด,0.113466706479546,n
อย่าง,0.238877276799044,n
กำหนด,0.173186025679307,
พนักงาน,0.268736936398925,
ต่อ,0.226933412959092,n
ตรวจ,0.119438638399522,
industri,0.179157957599283,n
posit,0.149298297999403,n
includ,0.197073753359212,n
document,0.10749477455957,
แพทย์,0.131382502239474,
ให้บริการ,0.101522842639594,n
อื่นๆ,0.161242161839355,n
สวัสดิการ,0.10749477455957,n
ประจำปี,0.125410570319498,n
ประจำ,0.149298297999403,n
ตามที่,0.143326366079427,n
respons,0.119438638399522,n
engin,0.376231710958495,
maintain,0.238877276799044,
effect,0.125410570319498,
equip,0.101522842639594,
process,0.274708868318901,
perform,0.209017617199164,
compani,0.226933412959092,n
monitor,0.238877276799044,
intern,0.179157957599283,
requir,0.471782621678113,n
health,0.125410570319498,
safeti,0.310540459838758,
environment,0.149298297999403,
field,0.113466706479546,
food,0.113466706479546,
execut,0.113466706479546,
activ,0.167214093759331,
analyt,0.143326366079427,
สำหรับ,0.10749477455957,n
design,0.131382502239474,
program,0.173186025679307,
ฝ่าย,0.10749477455957,n
ทำงาน,0.149298297999403,n
จาก,0.137354434159451,n
มีประสบการณ์,0.143326366079427,n
assist,0.10749477455957,
polici,0.119438638399522,
knowledg,0.167214093759331,
contact,0.10749477455957,
bangkok,0.125410570319498,n
client,0.226933412959092,
person,0.143326366079427,
thailand,0.173186025679307,n
master,0.10749477455957,n
environ,0.155270229919379,
abil,0.179157957599283,
thai,0.149298297999403,n
candid,0.155270229919379,n
ยา,0.161242161839355,
รับผิดชอบ,0.113466706479546,n
ข้อมูล,0.203045685279188,
เกี่ยวกับ,0.131382502239474,n
ปริญญาตรี,0.10749477455957,n
ทุก,0.113466706479546,n
เป็น,0.232905344879068,n
ความ,0.209017617199164,n
การทำงาน,0.328456255598686,n
อุปกรณ์,0.155270229919379,
ผลิตภัณฑ์,0.125410570319498,
ไม่,0.173186025679307,n
ค่า,0.119438638399522,n
ภายใน,0.101522842639594,
อายุ,0.101522842639594,
ความปลอดภัย,0.394147506718423,
รวมทั้ง,0.101522842639594,n
ปี,0.226933412959092,n
สุขภาพ,0.101522842639594,
วัน,0.10749477455957,n
พัฒนา,0.131382502239474,
บริหาร,0.10749477455957,
opportun,0.155270229919379,
risk,0.101522842639594,
train,0.119438638399522,
ระบบ,0.244849208719021,
level,0.131382502239474,n
strong,0.167214093759331,n
abl,0.173186025679307,n
excel,0.149298297999403,
รถยนต์,0.113466706479546,
ประเมิน,0.113466706479546,
time,0.173186025679307,
servic,0.250821140638997,
schedul,0.119438638399522,
issu,0.137354434159451,
inform,0.21498954911914,
procedur,0.173186025679307,
applic,0.197073753359212,
price,0.10749477455957,
support,0.274708868318901,
technic,0.137354434159451,
build,0.101522842639594,
direct,0.101522842639594,
effici,0.10749477455957,
data,0.21498954911914,
implement,0.131382502239474,
conduct,0.10749477455957,
follow,0.10749477455957,
digit,0.119438638399522,
