word,stock + inventory,YorN
สินค้า,3.63996662494785,y
และ,2.49269920734251,n
การ,1.49144764288694,n
ให้,1.15769712140175,n
ใน,1.08468919482687,n
คลังสินค้า,1.04297037964122,y
ที่,1.02211097204839,n
งาน,0.938673341677096,n
รับ,0.917813934084272,
ของ,0.876095118898623,n
ดูแล,0.834376303712975,
ควบคุม,0.782227784730914,
จ่าย,0.771798080934501,
ได้,0.750938673341677,n
มี,0.719649561952441,n
warehous,0.698790154359616,y
ตำแหน่ง,0.66750104297038,n
พนักงาน,0.646641635377555,n
กับ,0.584063412599082,n
ตรวจ,0.57363370880267,
เจ้าหน้าที่,0.531914893617021,n
ตรวจสอบ,0.511055486024197,
สาขา,0.490196078431372,n
เบิก,0.47976637463496,y
ensur,0.469336670838548,
inventori,0.469336670838548,y
manag,0.458906967042136,
ประสานงาน,0.458906967042136,
วัตถุดิบ,0.448477263245724,
รับมอบหมาย,0.427617855652899,n
stock,0.427617855652899,y
นับ,0.427617855652899,n
oper,0.417188151856487,
จัดทำ,0.417188151856487,n
จัด,0.417188151856487,n
อื่นๆ,0.417188151856487,n
เช็ค,0.406758448060075,y
จัดเก็บ,0.406758448060075,y
ทำ,0.365039632874426,n
บันทึก,0.365039632874426,
จาก,0.365039632874426,n
สต็อก,0.365039632874426,y
ตาม,0.354609929078014,n
ส่ง,0.354609929078014,
รายงาน,0.354609929078014,
จัดเรียง,0.354609929078014,y
work,0.323320817688778,n
เพื่อ,0.323320817688778,n
เอกสาร,0.312891113892365,
product,0.302461410095953,
สต๊อก,0.292031706299541,y
ตามที่,0.292031706299541,n
ข้อมูล,0.292031706299541,
วัน,0.292031706299541,n
control,0.281602002503129,
ต่างๆ,0.281602002503129,n
good,0.260742594910304,n
ลูกค้า,0.260742594910304,
ฝ่าย,0.260742594910304,n
คลัง,0.260742594910304,y
สามารถ,0.250312891113892,n
ประจำ,0.250312891113892,n
materi,0.250312891113892,y
ส่งสินค้า,0.250312891113892,
บริษัท,0.23988318731748,n
report,0.23988318731748,
ไม่,0.23988318731748,n
ด่วน,0.23988318731748,n
supervisor,0.23988318731748,
compani,0.229453483521068,n
การทำงาน,0.229453483521068,n
ระบบ,0.229453483521068,
รับสมัคร,0.229453483521068,n
offic,0.219023779724656,
ขาย,0.219023779724656,
