word,supply and distribution manager,YorN
manag,2.87490287490287,y
และ,1.11693861693862,n
custom,0.961538461538462,y
experi,0.932400932400932,n
work,0.893550893550894,n
oper,0.835275835275835,
ensur,0.806138306138306,
develop,0.767288267288267,y
logist,0.709013209013209,y
busi,0.709013209013209,n
skill,0.67987567987568,n
การ,0.67987567987568,n
project,0.67987567987568,
plan,0.66045066045066,y
servic,0.641025641025641,
process,0.621600621600622,
product,0.611888111888112,
team,0.602175602175602,
suppli,0.602175602175602,y
year,0.573038073038073,n
good,0.573038073038073,n
warehous,0.563325563325563,y
requir,0.543900543900544,
compani,0.514763014763015,
ใน,0.505050505050505,n
supplier,0.485625485625486,y
materi,0.466200466200466,y
purchas,0.456487956487957,y
ที่,0.437062937062937,n
market,0.417637917637918,
sale,0.407925407925408,
english,0.407925407925408,
relat,0.398212898212898,n
ของ,0.398212898212898,n
report,0.398212898212898,
cost,0.388500388500388,
activ,0.388500388500388,
procur,0.388500388500388,
control,0.378787878787879,
perform,0.378787878787879,
chain,0.378787878787879,
deliveri,0.369075369075369,
level,0.369075369075369,n
improv,0.359362859362859,
depart,0.359362859362859,n
provid,0.359362859362859,n
respons,0.359362859362859,n
transport,0.359362859362859,y
สินค้า,0.34965034965035,n
inventori,0.33993783993784,y
งาน,0.33022533022533,n
includ,0.33022533022533,n
order,0.32051282051282,
lead,0.32051282051282,y
strategi,0.32051282051282,y
time,0.32051282051282,
degre,0.310800310800311,n
negoti,0.310800310800311,
qualif,0.301087801087801,n
communic,0.291375291375291,
มี,0.281662781662782,n
strong,0.281662781662782,n
implement,0.281662781662782,
meet,0.271950271950272,n
ให้,0.271950271950272,n
thailand,0.271950271950272,n
support,0.271950271950272,
coordin,0.262237762237762,
salari,0.262237762237762,
bangkok,0.262237762237762,n
excel,0.262237762237762,
bachelor,0.252525252525252,n
industri,0.242812742812743,
maintain,0.242812742812743,
effect,0.242812742812743,
export,0.242812742812743,y
sourc,0.242812742812743,
offic,0.233100233100233,
function,0.233100233100233,
intern,0.233100233100233,
field,0.233100233100233,
document,0.223387723387723,
monitor,0.223387723387723,
assist,0.223387723387723,
import,0.223387723387723,y
assign,0.223387723387723,
procedur,0.223387723387723,
term,0.213675213675214,
candid,0.213675213675214,n
regul,0.213675213675214,
follow,0.213675213675214,
qualiti,0.203962703962704,
คลังสินค้า,0.203962703962704,y
applic,0.203962703962704,
write,0.194250194250194,
กับ,0.194250194250194,n
ได้,0.194250194250194,n
manufactur,0.194250194250194,
account,0.194250194250194,
knowledg,0.194250194250194,
high,0.194250194250194,
thai,0.194250194250194,n
recruit,0.194250194250194,n
train,0.194250194250194,
จัดซื้อ,0.194250194250194,y
problem,0.184537684537685,
achiev,0.184537684537685,
road,0.184537684537685,n
area,0.184537684537685,
effici,0.184537684537685,
