word,teacher academics,YorN
และ,1.75944090240314,n
train,0.993133889161354,
ที่,0.968612064737616,n
การ,0.870524767042668,n
ใน,0.852133398724865,n
work,0.839872486512997,n
develop,0.833742030407062,
สอน,0.803089749877391,y
english,0.741785188818048,
manag,0.723393820500245,
learn,0.637567435017165,
ครู,0.637567435017165,y
experi,0.576262873957823,n
มี,0.576262873957823,n
ได้,0.576262873957823,n
educ,0.576262873957823,y
skill,0.545610593428151,n
ของ,0.527219225110348,n
ให้,0.465914664051005,n
support,0.465914664051005,
student,0.465914664051005,y
sale,0.459784207945071,
team,0.453653751839137,
หลักสูตร,0.453653751839137,y
teach,0.435262383521334,y
year,0.404610102991663,n
ฝึกอบรม,0.392349190779794,
เป็น,0.392349190779794,n
plan,0.380088278567925,
กับ,0.361696910250123,n
teacher,0.361696910250123,y
งาน,0.355566454144188,n
หรือ,0.34330554193232,n
abil,0.331044629720451,
ภาษาอังกฤษ,0.324914173614517,y
activ,0.324914173614517,
assist,0.324914173614517,
thai,0.312653261402648,n
school,0.312653261402648,
product,0.306522805296714,
ตำแหน่ง,0.30039234919078,n
program,0.30039234919078,
ระดับ,0.294261893084846,n
provid,0.294261893084846,n
การสอน,0.294261893084846,y
relat,0.288131436978911,n
requir,0.288131436978911,n
custom,0.282000980872977,
communic,0.282000980872977,
applic,0.282000980872977,
ด้าน,0.275870524767043,n
ensur,0.269740068661108,
bangkok,0.269740068661108,n
นักเรียน,0.269740068661108,y
ต่างๆ,0.263609612555174,n
สามารถ,0.263609612555174,n
qualif,0.25747915644924,n
เพื่อ,0.25747915644924,n
excel,0.25747915644924,
time,0.25747915644924,
อาจารย์,0.25747915644924,y
degre,0.251348700343305,n
need,0.239087788131437,n
good,0.239087788131437,n
report,0.239087788131437,
รับมอบหมาย,0.232957332025503,n
knowledg,0.232957332025503,y
coach,0.226826875919568,
role,0.226826875919568,n
staff,0.226826875919568,
class,0.226826875919568,y
posit,0.220696419813634,n
พัฒนา,0.220696419813634,
level,0.220696419813634,n
ตาม,0.2145659637077,n
offic,0.2145659637077,
ดูแล,0.2145659637077,n
salari,0.2145659637077,
process,0.2145659637077,
inform,0.2145659637077,
trainer,0.2145659637077,
field,0.208435507601765,
bachelor,0.202305051495831,n
สาขา,0.202305051495831,n
thailand,0.202305051495831,n
environ,0.202305051495831,
servic,0.202305051495831,
คณิตศาสตร์,0.202305051495831,y
improv,0.196174595389897,
ไม่,0.196174595389897,n
abl,0.196174595389897,n
write,0.190044139283963,
respons,0.190044139283963,
effect,0.190044139283963,
perform,0.190044139283963,
evalu,0.190044139283963,
วิชา,0.190044139283963,y
intern,0.183913683178028,
ใช้,0.177783227072094,n
busi,0.177783227072094,n
includ,0.177783227072094,n
materi,0.177783227072094,
อื่นๆ,0.17165277096616,n
profession,0.17165277096616,y
implement,0.17165277096616,
conduct,0.17165277096616,
cours,0.17165277096616,
ลูกค้า,0.165522314860226,
ผู้,0.165522314860226,n
maintain,0.165522314860226,
monitor,0.165522314860226,
organ,0.165522314860226,n
speak,0.159391858754291,n
อย่าง,0.159391858754291,n
contact,0.159391858754291,
รับผิดชอบ,0.159391858754291,
ภายใน,0.159391858754291,
การเรียน,0.159391858754291,y
children,0.159391858754291,
จัดทำ,0.153261402648357,
ทักษะ,0.153261402648357,n
lead,0.153261402648357,
จาก,0.153261402648357,n
candid,0.153261402648357,n
strong,0.153261402648357,n
เด็ก,0.153261402648357,
วิทยากร,0.153261402648357,y
project,0.147130946542423,
พนักงาน,0.147130946542423,n
วัน,0.147130946542423,n
อบรม,0.147130946542423,
region,0.147130946542423,
โดย,0.141000490436488,n
ตามที่,0.141000490436488,n
leader,0.141000490436488,
standard,0.134870034330554,
คุณสมบัติ,0.134870034330554,n
ได้รับ,0.134870034330554,n
prepar,0.134870034330554,
ทำงาน,0.134870034330554,n
high,0.134870034330554,n
expect,0.134870034330554,
ภาษาไทย,0.134870034330554,n
mission,0.134870034330554,
relev,0.134870034330554,
present,0.12873957822462,
เจ้าหน้าที่,0.12873957822462,
จะ,0.12873957822462,n
ดี,0.12873957822462,n
ปฏิบัติงาน,0.12873957822462,n
จัด,0.12873957822462,
design,0.12873957822462,
การพัฒนา,0.12873957822462,
คะแนน,0.12873957822462,
area,0.12873957822462,
univers,0.12873957822462,y
base,0.122609122118686,
meet,0.122609122118686,
ขาย,0.122609122118686,
creat,0.122609122118686,
minimum,0.122609122118686,
interperson,0.122609122118686,
ปี,0.122609122118686,n
chang,0.122609122118686,
follow,0.122609122118686,
curriculum,0.122609122118686,y
classroom,0.122609122118686,y
oper,0.116478666012751,
ประสานงาน,0.116478666012751,
เกี่ยวข้อง,0.116478666012751,n
ผู้ช่วย,0.116478666012751,
administr,0.116478666012751,
locat,0.116478666012751,n
execut,0.116478666012751,
submit,0.116478666012751,
center,0.116478666012751,
languag,0.116478666012751,
ภาษา,0.116478666012751,
ต่ำกว่า,0.116478666012751,n
วิทยาศาสตร์,0.116478666012751,y
clinic,0.116478666012751,
market,0.110348209906817,
compani,0.110348209906817,n
establish,0.110348209906817,
road,0.110348209906817,n
opportun,0.110348209906817,
valu,0.110348209906817,
build,0.110348209906817,
scienc,0.104217753800883,y
บริษัท,0.104217753800883,n
เอกสาร,0.104217753800883,
สำเร็จการศึกษา,0.104217753800883,
deliveri,0.104217753800883,
ประจำ,0.104217753800883,
success,0.104217753800883,
interest,0.104217753800883,
มหาวิทยาลัย,0.104217753800883,y
