word,teacher art,YorN
สอน,3.38164251207729,y
ศิลปะ,2.73752012882448,y
และ,2.57648953301127,n
เด็ก,1.93236714975845,
ครู,1.93236714975845,y
ที่,1.28824476650564,n
train,1.12721417069243,
ใน,0.805152979066023,n
สำหรับ,0.805152979066023,n
อายุ,0.805152979066023,n
ปี,0.805152979066023,n
help,0.805152979066023,
ปั้น,0.805152979066023,y
need,0.644122383252818,
ให้,0.644122383252818,n
assist,0.644122383252818,
เป็น,0.644122383252818,n
time,0.644122383252818,n
support,0.644122383252818,
การสอน,0.644122383252818,y
artist,0.644122383252818,
student,0.644122383252818,y
product,0.483091787439613,
develop,0.483091787439613,
custom,0.483091787439613,
experi,0.483091787439613,n
present,0.483091787439613,
skill,0.483091787439613,n
ตำแหน่ง,0.483091787439613,n
กับ,0.483091787439613,n
การ,0.483091787439613,n
ทักษะ,0.483091787439613,n
มี,0.483091787439613,n
ผ่าน,0.483091787439613,n
งาน,0.483091787439613,n
ได้,0.483091787439613,n
ทั้ง,0.483091787439613,n
thai,0.483091787439613,n
servic,0.483091787439613,
store,0.483091787439613,
educ,0.483091787439613,y
นักเรียน,0.483091787439613,y
teach,0.483091787439613,y
ชิ้นงาน,0.483091787439613,
cook,0.483091787439613,
trainer,0.483091787439613,
มิติ,0.483091787439613,n
ดิน,0.483091787439613,y
เซรามิค,0.483091787439613,y
manag,0.322061191626409,
work,0.322061191626409,n
ensur,0.322061191626409,
meet,0.322061191626409,n
qualif,0.322061191626409,n
good,0.322061191626409,n
communic,0.322061191626409,
ตาม,0.322061191626409,n
ของ,0.322061191626409,n
ต่างๆ,0.322061191626409,n
ระดับ,0.322061191626409,n
หรือ,0.322061191626409,n
ทาง,0.322061191626409,n
ด้าน,0.322061191626409,n
ใช้,0.322061191626409,n
โดย,0.322061191626409,n
ขาย,0.322061191626409,
รับมอบหมาย,0.322061191626409,n
ดูแล,0.322061191626409,n
แก่,0.322061191626409,n
ผู้,0.322061191626409,n
หน้า,0.322061191626409,n
activ,0.322061191626409,
knowledg,0.322061191626409,
coach,0.322061191626409,y
identifi,0.322061191626409,
จัดกิจกรรม,0.322061191626409,
การทำงาน,0.322061191626409,n
พร้อม,0.322061191626409,n
ศูนย์,0.322061191626409,
พัฒนาการ,0.322061191626409,
การเรียนรู้,0.322061191626409,y
ร้าน,0.322061191626409,
การอบรม,0.322061191626409,
ก่อน,0.322061191626409,n
strong,0.322061191626409,n
คิด,0.322061191626409,n
สื่อสาร,0.322061191626409,
attend,0.322061191626409,
instruct,0.322061191626409,
จริง,0.322061191626409,n
ร่วม,0.322061191626409,n
เพิ่มเติม,0.322061191626409,n
counter,0.322061191626409,
facilit,0.322061191626409,
digit,0.322061191626409,
class,0.322061191626409,y
หลักสูตร,0.322061191626409,y
resid,0.322061191626409,
โรงเรียน,0.322061191626409,y
เสริมสร้าง,0.322061191626409,
particip,0.322061191626409,
ราชพฤกษ์,0.322061191626409,
วิทยากร,0.322061191626409,y
วิชา,0.322061191626409,y
ผู้ปกครอง,0.322061191626409,y
เกาหลี,0.322061191626409,
มัธยม,0.322061191626409,y
จินตนาการ,0.322061191626409,
มัธยมศึกษา,0.322061191626409,y
oneonon,0.322061191626409,
เด็กประถม,0.322061191626409,y
sale,0.161030595813205,
year,0.161030595813205,n
english,0.161030595813205,
write,0.161030595813205,
speak,0.161030595813205,n
บริษัท,0.161030595813205,n
เพื่อ,0.161030595813205,n
จัดการ,0.161030595813205,n
