word,teacher sport,YorN
coach,2.99295774647887,y
school,2.11267605633803,y
footbal,1.58450704225352,y
swim,1.58450704225352,y
ที่,1.05633802816901,n
ให้,1.05633802816901,n
การ,1.05633802816901,n
และ,0.880281690140845,n
ตาม,0.880281690140845,n
ใน,0.880281690140845,n
จะ,0.880281690140845,n
มี,0.880281690140845,n
intern,0.880281690140845,n
session,0.880281690140845,
applic,0.880281690140845,
safeguard,0.880281690140845,
การออกกำลังกาย,0.880281690140845,y
child,0.880281690140845,
เทรนเนอร์,0.880281690140845,y
shrewsburi,0.880281690140845,n
หรือ,0.704225352112676,n
ได้รับ,0.704225352112676,n
โปรแกรม,0.704225352112676,
จาก,0.704225352112676,n
ไป,0.704225352112676,n
student,0.704225352112676,y
ซ้อม,0.704225352112676,
ค่าย,0.704225352112676,n
work,0.528169014084507,n
qualiti,0.528169014084507,
team,0.528169014084507,
qualif,0.528169014084507,n
skill,0.528169014084507,n
english,0.528169014084507,
ได้,0.528169014084507,n
head,0.528169014084507,
requir,0.528169014084507,n
hour,0.528169014084507,
thai,0.528169014084507,n
วัน,0.528169014084507,n
deliv,0.528169014084507,
attend,0.528169014084507,
welfar,0.528169014084507,
ฝึก,0.528169014084507,n
avail,0.528169014084507,
academi,0.528169014084507,y
ผู้ฝึกสอน,0.528169014084507,y
นักมวย,0.528169014084507,y
ต่อย,0.528169014084507,
แชมป์โลก,0.528169014084507,
ensur,0.352112676056338,
detail,0.352112676056338,
good,0.352112676056338,n
กับ,0.352112676056338,n
เพื่อ,0.352112676056338,n
offic,0.352112676056338,
ผ่าน,0.352112676056338,n
plan,0.352112676056338,
provid,0.352112676056338,n
report,0.352112676056338,
ดูแล,0.352112676056338,n
posit,0.352112676056338,n
ฝึกอบรม,0.352112676056338,
line,0.352112676056338,
high,0.352112676056338,n
start,0.352112676056338,
person,0.352112676056338,
promot,0.352112676056338,
abil,0.352112676056338,
nation,0.352112676056338,
websit,0.352112676056338,
เป็น,0.352112676056338,n
เวลา,0.352112676056338,n
อุปกรณ์,0.352112676056338,
ไม่,0.352112676056338,n
strong,0.352112676056338,n
concern,0.352112676056338,
