word,telesale,YorN
ลูกค้า,2.32397606994938,
มี,2.30096640589047,n
และ,2.25494707777266,n
ให้,2.09387942936033,n
ทาง,1.40358950759319,n
งาน,1.38057984353428,n
เงินเดือน,1.31155085135757,n
โทรศัพท์,1.10446387482743,y
ประจำ,1.10446387482743,n
ไม่,1.08145421076852,n
ขาย,1.05844454670962,n
ประกัน,1.01242521859181,n
เสาร์,0.966405890473999,n
ที่,0.87436723423838,n
ใน,0.851357570179475,n
โทร,0.828347906120571,y
การ,0.805338242061666,n
บริษัท,0.782328578002761,n
ได้,0.759318913943856,n
เพื่อ,0.713299585826047,n
ทำงาน,0.690289921767142,n
ตำแหน่ง,0.667280257708238,n
ติดต่อ,0.644270593649333,
วัน,0.644270593649333,n
ของ,0.621260929590428,n
งานประจำ,0.621260929590428,
ออฟฟิศ,0.621260929590428,
ตาม,0.598251265531523,n
ทำ,0.598251265531523,n
เดือน,0.598251265531523,n
ออก,0.575241601472619,n
อโศก,0.552231937413714,n
หยุด,0.552231937413714,n
ค่า,0.529222273354809,n
ไม่ต้อง,0.529222273354809,n
เจ้าหน้าที่,0.506212609295904,n
เสนอขาย,0.506212609295904,y
บาท,0.506212609295904,n
จันทร์,0.506212609295904,n
ศุกร์,0.506212609295904,n
อบรม,0.483202945236999,
ฐาน,0.460193281178095,
ฟิต,0.460193281178095,n
sale,0.43718361711919,y
แนะนำ,0.43718361711919,n
เป็น,0.43718361711919,n
ออฟ,0.43718361711919,n
สินค้า,0.414173953060285,
เกี่ยวกับ,0.414173953060285,n
ทุก,0.414173953060285,n
รายชื่อ,0.39116428900138,y
หรือ,0.368154624942476,n
ยอดขาย,0.368154624942476,y
กับ,0.345144960883571,n
คุณ,0.345144960883571,n
เริ่ม,0.345144960883571,n
ทันที,0.345144960883571,n
หา,0.345144960883571,n
รายได้,0.345144960883571,n
คอม,0.345144960883571,
telesal,0.345144960883571,y
นักขัตฤกษ์,0.345144960883571,n
โบนัส,0.322135296824666,
น,0.322135296824666,n
สัมภาษณ์,0.322135296824666,n
ไป,0.322135296824666,n
สุขภาพ,0.322135296824666,
พี่,0.322135296824666,n
ใกล้,0.322135296824666,n
บี,0.322135296824666,n
บริการ,0.299125632765762,
line,0.299125632765762,
ข้อมูล,0.299125632765762,
การทำงาน,0.299125632765762,
คอมมิชชั่น,0.299125632765762,y
อุบัติเหตุ,0.299125632765762,n
ด่วน,0.299125632765762,n
รับสมัคร,0.299125632765762,n
พบ,0.299125632765762,n
ผล,0.299125632765762,n
สาขา,0.276115968706857,n
ฝ่ายขาย,0.276115968706857,y
ฝ่าย,0.276115968706857,
