word,therapist,YorN
และ,2.60093167701863,n
ลูกค้า,2.17391304347826,
ความงาม,1.94099378881988,y
ให้,1.70807453416149,n
ท,1.5527950310559,n
บริการ,1.5139751552795,y
การ,1.39751552795031,n
งาน,1.20341614906832,n
มี,1.16459627329193,n
กับ,1.12577639751553,n
ทำ,1.12577639751553,n
เซ็นทรัล,1.08695652173913,n
ใน,1.00931677018634,n
สาขา,1.00931677018634,n
นวด,0.970496894409938,y
ที่,0.93167701863354,n
ได้,0.93167701863354,n
ประจำ,0.93167701863354,n
ค่า,0.892857142857143,n
ด้าน,0.815217391304348,n
ของ,0.77639751552795,n
รี,0.77639751552795,n
ตำแหน่ง,0.737577639751553,n
คุณ,0.737577639751553,n
พนักงาน,0.737577639751553,n
ที่ปรึกษา,0.737577639751553,
ขาย,0.698757763975155,n
เม้นท์,0.698757763975155,
แนะนำ,0.659937888198758,
คลินิก,0.659937888198758,y
หน้า,0.659937888198758,
ต่างๆ,0.62111801242236,n
ให้คำปรึกษา,0.62111801242236,y
คอร์ส,0.582298136645963,
นท,0.543478260869565,n
ด่วน,0.543478260869565,n
สนใจ,0.543478260869565,n
รีต,0.543478260869565,n
ดูแล,0.504658385093168,
ติดต่อ,0.504658385093168,
แพทย์,0.504658385093168,y
เงินเดือน,0.504658385093168,
ใช้,0.46583850931677,n
เมน,0.427018633540373,n
ต์,0.427018633540373,n
สามารถ,0.388198757763975,n
รับมอบหมาย,0.388198757763975,n
พนัก,0.388198757763975,n
งา,0.388198757763975,n
พนักงานขาย,0.388198757763975,
thai,0.388198757763975,n
คอมมิชชั่น,0.388198757763975,
treatment,0.388198757763975,y
ตาม,0.349378881987578,n
ปิด,0.349378881987578,n
พร้อม,0.349378881987578,n
ผลิตภัณฑ์,0.349378881987578,
เสนอขาย,0.349378881987578,
รับสมัคร,0.349378881987578,n
มือ,0.349378881987578,n
บริษัท,0.31055900621118,n
หรือ,0.31055900621118,n
therapist,0.31055900621118,y
แก่,0.31055900621118,n
ทำงาน,0.31055900621118,n
มีประสบการณ์,0.31055900621118,n
ก่อน,0.31055900621118,n
วัน,0.31055900621118,n
ตัว,0.31055900621118,n
เดือน,0.31055900621118,n
รายได้,0.31055900621118,n
beauti,0.271739130434783,y
มา,0.271739130434783,n
สวัสดิการ,0.271739130434783,n
เบี้ย,0.271739130434783,n
อ,0.271739130434783,n
เกี่ยวกับ,0.271739130434783,n
รวม,0.271739130434783,n
ร้าน,0.271739130434783,
บางนา,0.271739130434783,n
tradit,0.271739130434783,
คอม,0.271739130434783,
พระราม,0.271739130434783,n
อัตรา,0.232919254658385,
ทาง,0.232919254658385,n
อย่าง,0.232919254658385,n
รับ,0.232919254658385,n
์,0.232919254658385,n
ให้บริการ,0.232919254658385,
ผิวพรรณ,0.232919254658385,y
ทรีทเม้นต์,0.232919254658385,y
หัตถการ,0.232919254658385,y
ขยัน,0.232919254658385,n
คำแนะนำ,0.232919254658385,
เดอะ,0.232919254658385,n
practition,0.232919254658385,
เท,0.232919254658385,n
มอลล์,0.232919254658385,n
สีลม,0.232919254658385,n
งาม,0.232919254658385,
clinic,0.232919254658385,y
work,0.194099378881988,n
เจ้าหน้าที่,0.194099378881988,n
ผู้ช่วย,0.194099378881988,n
เป็นพิเศษ,0.194099378881988,n
ตรวจ,0.194099378881988,
ช่วย,0.194099378881988,n
อื่นๆ,0.194099378881988,n
ฟรี,0.194099378881988,n
ประจำปี,0.194099378881988,n
ได้ดี,0.194099378881988,n
เริ่ม,0.194099378881988,n
ทันที,0.194099378881988,n
อุปกรณ์,0.194099378881988,
ใจรัก,0.194099378881988,n
ไม่,0.194099378881988,n
การรักษา,0.194099378881988,y
วันหยุด,0.194099378881988,n
พื้นฐาน,0.194099378881988,n
เครื่องมือ,0.194099378881988,
manag,0.15527950310559,
product,0.15527950310559,
team,0.15527950310559,
มีความรู้,0.15527950310559,n
จะ,0.15527950310559,n
ดี,0.15527950310559,n
แล้ว,0.15527950310559,n
สมัคร,0.15527950310559,n
ป,0.15527950310559,n
ความรับผิดชอบ,0.15527950310559,n
สินค้า,0.15527950310559,n
ต่อ,0.15527950310559,n
เม,0.15527950310559,n
ผู้,0.15527950310559,n
ใบหน้า,0.15527950310559,y
โบนัส,0.15527950310559,n
ฝึกอบรม,0.15527950310559,
กะ,0.15527950310559,
ลาดพร้าว,0.15527950310559,n
สัมภาษณ์,0.15527950310559,
ปี,0.15527950310559,n
ฐาน,0.15527950310559,n
เข้า,0.15527950310559,n
อบรม,0.15527950310559,
