word,translator,YorN
japanes,3.88349514563107,y
interpret,2.49972101327977,y
thai,2.06450172971767,n
translat,1.8971096975784,y
work,1.45073094520701,n
english,1.08246847450061,
document,1.08246847450061,
meet,0.959714317598482,n
experi,0.959714317598482,n
support,0.948554848789198,
และ,0.937395379979913,n
year,0.814641223077781,n
skill,0.803481754268497,n
good,0.770003347840643,n
ภาษา,0.758843879031358,
manag,0.725365472603504,
แปล,0.703046534984935,y
product,0.69188706617565,
compani,0.69188706617565,n
task,0.647249190938511,n
speak,0.613770784510657,y
ล่าม,0.613770784510657,y
busi,0.602611315701373,n
salari,0.602611315701373,n
assign,0.602611315701373,
languag,0.602611315701373,y
ใน,0.557973440464234,n
offic,0.535654502845665,
coordin,0.52449503403638,
communic,0.52449503403638,y
level,0.52449503403638,n
staff,0.513335565227095,
ญี่ปุ่น,0.513335565227095,
ตำแหน่ง,0.468697689989956,n
degre,0.457538221180672,n
relat,0.457538221180672,n
เอกสาร,0.435219283562102,
client,0.435219283562102,
bachelor,0.424059814752818,n
ที่,0.412900345943533,n
provid,0.401740877134248,n
command,0.379421939515679,
chines,0.379421939515679,y
thailand,0.368262470706394,n
factori,0.35710300189711,
field,0.35710300189711,
กับ,0.345943533087825,n
งาน,0.345943533087825,n
ได้,0.345943533087825,n
การ,0.33478406427854,n
manufactur,0.33478406427854,
femal,0.33478406427854,n
qualif,0.323624595469256,n
nation,0.312465126659971,
servic,0.312465126659971,
ประสานงาน,0.301305657850686,
เป็น,0.301305657850686,n
ภาษาจีน,0.301305657850686,y
custom,0.278986720232117,
depart,0.278986720232117,n
ลูกค้า,0.278986720232117,
industri,0.278986720232117,n
ให้,0.267827251422832,n
locat,0.267827251422832,n
hour,0.267827251422832,
male,0.267827251422832,n
bangkok,0.267827251422832,n
benefit,0.267827251422832,
convers,0.267827251422832,
sale,0.256667782613548,n
respons,0.256667782613548,n
abl,0.256667782613548,n
month,0.245508313804263,n
type,0.245508313804263,n
assist,0.245508313804263,
expect,0.245508313804263,
area,0.245508313804263,
descript,0.234348844994978,n
person,0.234348844994978,
prefer,0.234348844994978,
candid,0.234348844994978,n
มี,0.223189376185693,n
รับมอบหมาย,0.223189376185693,
requir,0.223189376185693,n
excel,0.223189376185693,
contract,0.223189376185693,
applic,0.223189376185693,
ระหว่าง,0.212029907376409,n
line,0.212029907376409,
submit,0.212029907376409,
time,0.212029907376409,n
ไทย,0.212029907376409,n
district,0.212029907376409,n
จีน,0.212029907376409,
ต่างๆ,0.200870438567124,n
หรือ,0.200870438567124,n
administr,0.200870438567124,
อื่นๆ,0.200870438567124,n
recruit,0.200870438567124,n
websit,0.200870438567124,
insur,0.200870438567124,
graduat,0.200870438567124,
welcom,0.200870438567124,n
recent,0.200870438567124,
vice,0.200870438567124,n
versa,0.200870438567124,n
posit,0.189710969757839,n
visit,0.189710969757839,
ภาษาไทย,0.189710969757839,y
allow,0.189710969757839,
ของ,0.178551500948555,n
email,0.178551500948555,
report,0.178551500948555,
พนักงาน,0.178551500948555,n
chonburi,0.178551500948555,n
contact,0.178551500948555,
ด่วน,0.178551500948555,n
รับสมัคร,0.178551500948555,n
attend,0.178551500948555,
necessari,0.178551500948555,
workplac,0.178551500948555,
write,0.16739203213927,
ติดต่อ,0.16739203213927,
activ,0.16739203213927,
road,0.16739203213927,n
photo,0.16739203213927,
part,0.16739203213927,n
พม่า,0.16739203213927,
team,0.156232563329986,
prepar,0.156232563329986,
intern,0.156232563329986,n
จาก,0.156232563329986,n
resum,0.156232563329986,n
ปี,0.156232563329986,n
admin,0.156232563329986,
inform,0.156232563329986,
secretari,0.156232563329986,
depend,0.156232563329986,
market,0.145073094520701,
ด้าน,0.145073094520701,n
floor,0.145073094520701,n
advanc,0.145073094520701,
pressur,0.145073094520701,
appli,0.145073094520701,
bonus,0.145073094520701,
ตามที่,0.133913625711416,n
health,0.133913625711416,n
มีประสบการณ์,0.133913625711416,n
handl,0.133913625711416,
general,0.133913625711416,
word,0.133913625711416,n
สื่อสาร,0.133913625711416,
sukhumvit,0.133913625711416,n
duti,0.133913625711416,
room,0.133913625711416,n
คนไทย,0.133913625711416,
current,0.122754156902131,
บริการ,0.122754156902131,
ทำงาน,0.122754156902131,n
interest,0.122754156902131,
follow,0.122754156902131,
site,0.122754156902131,
automobil,0.122754156902131,
เจ้าหน้าที่,0.111594688092847,n
เกี่ยวข้อง,0.111594688092847,n
plan,0.111594688092847,
สินค้า,0.111594688092847,
high,0.111594688092847,n
social,0.111594688092847,
transfer,0.111594688092847,
fresh,0.111594688092847,
help,0.111594688092847,
trip,0.111594688092847,
japan,0.111594688092847,
agent,0.111594688092847,
klongton,0.111594688092847,n
vadhana,0.111594688092847,n
asia,0.111594688092847,
ชาว,0.111594688092847,n
control,0.100435219283562,
ตาม,0.100435219283562,n
บริษัท,0.100435219283562,n
คุณสมบัติ,0.100435219283562,n
สามารถ,0.100435219283562,n
includ,0.100435219283562,n
especi,0.100435219283562,
account,0.100435219283562,
อายุ,0.100435219283562,n
opportun,0.100435219283562,
strong,0.100435219283562,n
concern,0.100435219283562,
arrang,0.100435219283562,
north,0.100435219283562,n
automot,0.100435219283562,
samutprakarn,0.100435219283562,n
day,0.100435219283562,n
mail,0.100435219283562,
queri,0.100435219283562,
method,0.100435219283562,
quartier,0.100435219283562,
make,0.100435219283562,n
outlin,0.100435219283562,
job,0.100435219283562,n
korean,0.100435219283562,y
นักแปล,0.100435219283562,y
