word,vehicle driver,YorN
ขับรถ,3.12559557842577,y
พนักงาน,2.15361158757385,n
และ,2.1345530779493,n
ส่ง,1.85820468839337,
ได้,1.65809033733562,n
งาน,1.49609300552697,n
ให้,1.41985896702878,n
ที่,1.34362492853059,n
รถ,1.27692014484467,
ผู้บริหาร,1.21974461597103,
มี,1.14351057747284,n
รับ,1.12445206784829,
ใน,1.05774728416238,n
ตำแหน่ง,0.991042500476463,n
ของ,0.971983990851915,n
รับมอบหมาย,0.809986659043263,n
ส่งสินค้า,0.809986659043263,y
ตาม,0.7242233657328,n
ลูกค้า,0.714694110920526,
การ,0.619401562797789,n
สินค้า,0.609872307985516,
ทำงาน,0.600343053173242,n
ไป,0.590813798360968,n
สามารถ,0.581284543548694,n
ดูแล,0.581284543548694,
ตามที่,0.581284543548694,n
วัน,0.562226033924147,n
พร้อม,0.5431675242996,n
เอกสาร,0.505050505050505,
รถยนต์,0.495521250238231,y
อื่นๆ,0.485991995425958,n
ประจำ,0.476462740613684,n
ด่วน,0.476462740613684,n
ขับ,0.46693348580141,y
อยู่,0.438345721364589,n
ปฏิบัติงาน,0.409757956927768,n
ไม่,0.400228702115494,n
ต่างๆ,0.390699447303221,n
บริการ,0.390699447303221,
บริษัท,0.381170192490947,n
เป็น,0.371640937678673,n
สาขา,0.3621116828664,n
เขต,0.3621116828664,
กับ,0.352582428054126,n
เช็ค,0.352582428054126,n
พื้นที่,0.343053173241852,
ใช้งาน,0.343053173241852,n
อาหาร,0.333523918429579,n
สภาพ,0.333523918429579,
ส่วนกลาง,0.323994663617305,
ดี,0.314465408805031,n
รับผิดชอบ,0.314465408805031,n
ขึ้นไป,0.314465408805031,n
รับสมัคร,0.314465408805031,n
หรือ,0.304936153992758,n
ค่า,0.304936153992758,n
เพื่อ,0.295406899180484,n
สถานที่,0.295406899180484,
ตรวจ,0.295406899180484,
เวลา,0.295406899180484,
ปี,0.295406899180484,n
อย่าง,0.28587764436821,n
จันทร์,0.276348389555937,n
น,0.257289879931389,n
บาท,0.257289879931389,n
ดูแลรักษา,0.257289879931389,
ต่างจังหวัด,0.247760625119116,
จาก,0.238231370306842,n
อายุ,0.238231370306842,n
ล้อ,0.238231370306842,
ใช้,0.228702115494568,n
ติดต่อ,0.228702115494568,n
ภายใน,0.228702115494568,
ใบขับขี่,0.228702115494568,y
บำรุงรักษา,0.219172860682295,
oper,0.209643605870021,
คุณสมบัติ,0.209643605870021,n
เพศชาย,0.209643605870021,n
ต้อง,0.209643605870021,n
ศุกร์,0.209643605870021,n
ปริมณฑล,0.209643605870021,
เจ้าหน้าที่,0.200114351057747,n
ทั้ง,0.200114351057747,n
ก่อน,0.200114351057747,n
เสมอ,0.200114351057747,n
กำหนด,0.190585096245474,n
deliveri,0.190585096245474,y
วุฒิการศึกษา,0.190585096245474,n
เสาร์,0.190585096245474,n
รถจักรยานยนต์,0.190585096245474,y
sale,0.1810558414332,
จำกัด,0.1810558414332,n
ประกัน,0.1810558414332,n
กรุงเทพฯ,0.1810558414332,n
driver,0.1810558414332,y
นาย,0.1810558414332,n
work,0.171526586620926,n
จะ,0.171526586620926,n
จัด,0.171526586620926,n
รายละเอียด,0.171526586620926,n
บริษัทฯ,0.171526586620926,n
เดือน,0.171526586620926,n
ทำความสะอาด,0.171526586620926,
กรุงเทพ,0.171526586620926,
ถึง,0.171526586620926,n
วิ่ง,0.171526586620926,n
manag,0.161997331808653,n
ฝ่าย,0.161997331808653,n
ทางใน,0.161997331808653,
ความสะอาด,0.161997331808653,
ตรวจสอบ,0.152468076996379,n
ความรับผิดชอบ,0.152468076996379,n
นำ,0.152468076996379,n
servic,0.152468076996379,
คุณ,0.142938822184105,n
หน้าที่,0.142938822184105,n
ต่อ,0.142938822184105,n
ให้บริการ,0.142938822184105,n
เริ่ม,0.142938822184105,n
วันหยุด,0.142938822184105,n
support,0.142938822184105,n
สำเนา,0.142938822184105,n
รถตู้,0.142938822184105,y
ด้าน,0.133409567371831,n
มีประสบการณ์,0.133409567371831,n
กทม,0.133409567371831,
หลัง,0.133409567371831,n
สุขุมวิท,0.133409567371831,n
รถบรรทุก,0.133409567371831,y
พา,0.133409567371831,n
team,0.123880312559558,
good,0.123880312559558,n
โทร,0.123880312559558,n
ออก,0.123880312559558,n
ม,0.123880312559558,n
ทันที,0.123880312559558,n
บาง,0.123880312559558,n
สุขภาพ,0.123880312559558,n
พิจารณา,0.123880312559558,n
หญิง,0.123880312559558,n
จัดส่ง,0.123880312559558,y
custom,0.114351057747284,n
ผ่าน,0.114351057747284,n
busi,0.114351057747284,n
สวัสดิการ,0.114351057747284,n
ขยัน,0.114351057747284,n
ประจำปี,0.114351057747284,n
thailand,0.114351057747284,n
อุบัติเหตุ,0.114351057747284,n
บางนา,0.114351057747284,n
ขนส่ง,0.114351057747284,y
บ้าน,0.114351057747284,
จังหวัด,0.114351057747284,
transport,0.114351057747284,y
ยัง,0.114351057747284,n
เส้น,0.114351057747284,
เส้นทาง,0.114351057747284,y
หาก,0.10482180293501,n
ปฎิบัติ,0.10482180293501,n
วางบิล,0.10482180293501,n
ระหว่าง,0.10482180293501,n
ความ,0.10482180293501,n
รายได้,0.10482180293501,n
แขวง,0.10482180293501,
บุคคล,0.10482180293501,n
ละ,0.10482180293501,n
บัตรประชาชน,0.10482180293501,n
tour,0.10482180293501,
