word,waiter,YorN
และ,3.02425391755664,n
ลูกค้า,2.32558139534884,
บริการ,2.01616927837109,
ได้,1.56702265695179,n
ร้าน,1.54706058488871,
ที่,1.52709851282563,n
งาน,1.47719333266793,n
มี,1.22766743187943,n
ใน,1.14781914362711,n
สาขา,1.08793292743787,
อาหาร,1.03802774728017,y
ดี,0.948198422996307,n
สามารถ,0.918255314901687,n
การ,0.808463918554746,n
รับ,0.808463918554746,n
วัน,0.788501846491666,n
ดูแล,0.778520810460126,
ทำงาน,0.758558738397046,n
เป็น,0.728615630302425,n
ของ,0.678710450144725,n
ให้,0.668729414113185,n
พนักงาน,0.668729414113185,n
ปี,0.648767342050105,n
อย่าง,0.628805269987025,n
ตำแหน่ง,0.528994909671624,n
ไม่,0.519013873640084,n
พนักงานประจำ,0.509032837608544,
ออเดอร์,0.509032837608544,y
อายุ,0.499051801577004,n
ขึ้นไป,0.499051801577004,n
เครื่องดื่ม,0.499051801577004,y
บาท,0.489070765545464,n
คุณสมบัติ,0.479089729513923,n
กะ,0.479089729513923,
เสิร์ฟ,0.479089729513923,y
พนักงานเสิร์ฟ,0.449146621419303,y
ต้อนรับ,0.429184549356223,
กับ,0.419203513324683,n
ให้บริการ,0.409222477293143,
ตาม,0.379279369198523,n
จาก,0.379279369198523,n
บางนา,0.379279369198523,n
ประจำ,0.369298333166983,
ต่อ,0.359317297135443,n
อื่นๆ,0.359317297135443,n
ประจำปี,0.359317297135443,
หญิง,0.359317297135443,n
ชุด,0.349336261103903,
แนะนำ,0.349336261103903,
สวัสดิการ,0.349336261103903,n
อุปกรณ์,0.349336261103903,
ใช้,0.339355225072362,n
รับมอบหมาย,0.339355225072362,n
วุฒิการศึกษา,0.339355225072362,n
เพศชาย,0.329374189040822,n
ภายใน,0.329374189040822,n
จำกัด,0.319393153009282,n
ต่างๆ,0.309412116977742,n
หรือ,0.309412116977742,n
ร้านอาหาร,0.309412116977742,y
ประกัน,0.309412116977742,n
ผู้สมัคร,0.299431080946202,n
ด้าน,0.299431080946202,n
บริษัท,0.279469008883122,n
หน้าที่,0.279469008883122,n
ความ,0.279469008883122,n
เมนู,0.279469008883122,y
แก่,0.259506936820042,n
รับผิดชอบ,0.259506936820042,n
ใจรัก,0.259506936820042,n
จัดเตรียม,0.259506936820042,
รับสมัคร,0.259506936820042,n
พื้นที่,0.259506936820042,n
โทร,0.249525900788502,n
ฝ่าย,0.249525900788502,n
มีประสบการณ์,0.249525900788502,n
ด่วน,0.249525900788502,n
คุณ,0.239544864756962,n
เงิน,0.239544864756962,n
ติดต่อ,0.239544864756962,n
ด้วย,0.239544864756962,n
รายละเอียด,0.239544864756962,n
ความสะอาด,0.239544864756962,
บัตรประชาชน,0.239544864756962,n
เช่น,0.229563828725422,n
ความรับผิดชอบ,0.229563828725422,n
มาตรฐาน,0.229563828725422,
บุคลิกภาพ,0.219582792693882,
ค่า,0.219582792693882,n
สุขภาพ,0.219582792693882,n
ตัวจริง,0.219582792693882,n
ขยัน,0.209601756662341,n
กองทุนสำรองเลี้ยงชีพ,0.209601756662341,n
อุบัติเหตุ,0.209601756662341,n
ชม,0.209601756662341,n
เขต,0.209601756662341,n
ทำความสะอาด,0.209601756662341,
restaur,0.209601756662341,y
ชั้น,0.189639684599261,n
สินค้า,0.189639684599261,
แขวง,0.189639684599261,n
เส,0.189639684599261,n
เอ็ม,0.189639684599261,n
การทำงาน,0.179658648567721,n
รายได้,0.179658648567721,n
เรียบร้อย,0.179658648567721,n
ไวน์,0.179658648567721,
ทำ,0.169677612536181,n
ตั้งแต่,0.169677612536181,n
มีประสิทธิภาพ,0.169677612536181,n
รวมถึง,0.169677612536181,n
time,0.169677612536181,n
guest,0.169677612536181,n
โปรโมชั่น,0.169677612536181,
waiter,0.169677612536181,y
เพื่อ,0.159696576504641,n
จะ,0.159696576504641,n
การสมัครงาน,0.159696576504641,n
ตรวจ,0.159696576504641,n
โบนัส,0.159696576504641,n
เงินเดือน,0.159696576504641,n
ภายใต้,0.159696576504641,n
บริษัทฯ,0.159696576504641,n
ไป,0.159696576504641,n
พิจารณา,0.159696576504641,n
จันทร์,0.159696576504641,n
ริ,0.159696576504641,n
กฎระเบียบ,0.159696576504641,
ปฏิบัติตาม,0.159696576504641,
ส่วน,0.159696576504641,n
เข้างาน,0.159696576504641,
กรุงเทพมหานคร,0.159696576504641,n
เรียน,0.159696576504641,n
ความประทับใจ,0.159696576504641,
ผู้จัดการ,0.149715540473101,
ระดับ,0.149715540473101,n
สมัคร,0.149715540473101,n
ม,0.149715540473101,n
รัก,0.149715540473101,n
สร้าง,0.149715540473101,n
ชาย,0.149715540473101,n
ศุกร์,0.149715540473101,n
บุคคล,0.149715540473101,n
สำเนา,0.149715540473101,n
รู้งาน,0.149715540473101,n
นโยบาย,0.139734504441561,
เบี้ย,0.139734504441561,n
หน้า,0.139734504441561,n
เซ็นทรัล,0.139734504441561,n
นอก,0.139734504441561,n
เสาร์,0.139734504441561,n
เค,0.139734504441561,n
appli,0.139734504441561,
ความกดดัน,0.139734504441561,
group,0.139734504441561,
ฟ,0.139734504441561,n
แคชเชียร์,0.139734504441561,
ญี่ปุ่น,0.139734504441561,
ที่อยู่,0.139734504441561,n
โต๊ะ,0.139734504441561,
คุณธรรม,0.139734504441561,n
จริยธรรม,0.139734504441561,n
ซื่อสัตย์สุจริต,0.139734504441561,n
เอกสาร,0.129753468410021,n
ปฏิบัติงาน,0.129753468410021,n
มา,0.129753468410021,n
ชั่วโมง,0.129753468410021,n
resum,0.129753468410021,n
พร้อม,0.129753468410021,n
รายการอาหาร,0.129753468410021,y
สัมภาษณ์,0.129753468410021,n
interest,0.129753468410021,n
พนักงานบริการ,0.129753468410021,y
จำเป็นต้อง,0.129753468410021,n
ผู้อื่น,0.129753468410021,n
สมัครงาน,0.129753468410021,n
โต๊ะอาหาร,0.129753468410021,y
กุ๊ก,0.129753468410021,n
โซน,0.129753468410021,
พาร์ทไทม์,0.129753468410021,
ทิป,0.129753468410021,y
มีอัธยาศัย,0.129753468410021,
waitress,0.129753468410021,y
มีความรู้,0.119772432378481,n
ส่ง,0.119772432378481,n
ตามที่,0.119772432378481,n
compani,0.119772432378481,
candid,0.119772432378481,n
ก่อน,0.119772432378481,n
