word,architecture,YorN
และ,3.27522451135763,n
ที่,1.87533016376123,n
งาน,1.743264659271,n
ออกแบบ,1.66402535657686,y
แบบ,1.4527205493925,
ใน,1.13576333861595,n
กับ,1.03011093502377,n
สถาปนิก,1.03011093502377,y
โครงการ,1.00369783412573,
ให้,0.977284733227681,n
มี,0.950871632329636,n
การ,0.92445853143159,n
architect,0.845219228737454,y
ก่อสร้าง,0.845219228737454,y
ของ,0.792393026941363,n
ได้,0.739566825145272,n
project,0.739566825145272,
experi,0.686740623349181,n
ลูกค้า,0.660327522451136,
หรือ,0.607501320655045,n
manag,0.581088219756999,
work,0.554675118858954,n
เกี่ยวข้อง,0.554675118858954,n
ตำแหน่ง,0.501848917062863,n
ประสานงาน,0.501848917062863,
construct,0.501848917062863,y
ตาม,0.475435816164818,n
สามารถ,0.475435816164818,n
เขียนแบบ,0.475435816164818,y
สถาปัตยกรรม,0.449022715266772,y
ตรวจสอบ,0.422609614368727,
กำหนด,0.422609614368727,
skill,0.369783412572636,n
สาขา,0.369783412572636,n
design,0.369783412572636,y
ปี,0.369783412572636,n
วิศวกร,0.369783412572636,
product,0.343370311674591,
เพื่อ,0.343370311674591,n
อย่าง,0.343370311674591,n
อื่นๆ,0.343370311674591,n
compani,0.343370311674591,n
วัสดุ,0.343370311674591,
architectur,0.343370311674591,y
english,0.316957210776545,
ต่างๆ,0.316957210776545,n
ดี,0.316957210776545,n
develop,0.2905441098785,
year,0.2905441098785,n
ควบคุม,0.2905441098785,
ด้าน,0.2905441098785,n
เพื่อให้,0.2905441098785,n
โครงสร้าง,0.2905441098785,y
อาคาร,0.2905441098785,y
งานก่อสร้าง,0.2905441098785,y
team,0.264131008980454,
coordin,0.264131008980454,
communic,0.264131008980454,
โปรแกรม,0.264131008980454,
ทำ,0.264131008980454,n
หน้า,0.264131008980454,n
ฝ่าย,0.264131008980454,n
ทำงาน,0.264131008980454,n
รายละเอียด,0.264131008980454,n
พัฒนา,0.264131008980454,
good,0.237717908082409,n
เป็นไปตาม,0.237717908082409,
ติดต่อ,0.237717908082409,
วาง,0.237717908082409,n
มีประสบการณ์,0.237717908082409,n
เป็น,0.237717908082409,n
คุณภาพ,0.237717908082409,
site,0.237717908082409,
sketch,0.237717908082409,y
qualif,0.211304807184363,n
relat,0.211304807184363,n
คุณสมบัติ,0.211304807184363,n
ใช้,0.211304807184363,n
ปฏิบัติงาน,0.211304807184363,n
นำเสนอ,0.211304807184363,
ตามที่,0.211304807184363,n
bangkok,0.211304807184363,n
thailand,0.211304807184363,n
candid,0.211304807184363,n
floor,0.211304807184363,n
ขึ้นไป,0.211304807184363,n
ด่วน,0.211304807184363,n
สถาปัตย์,0.211304807184363,y
detail,0.184891706286318,
หน่วยงาน,0.184891706286318,n
ใหม่,0.184891706286318,n
offic,0.184891706286318,
ทาง,0.184891706286318,n
จะ,0.184891706286318,n
รับมอบหมาย,0.184891706286318,
plan,0.184891706286318,
สินค้า,0.184891706286318,
lead,0.184891706286318,
client,0.184891706286318,
road,0.184891706286318,n
ข้อมูล,0.184891706286318,
ปริญญาตรี,0.184891706286318,n
ประสบการณ์,0.184891706286318,n
ภายใน,0.184891706286318,
พิจารณา,0.184891706286318,
เหมาะสม,0.184891706286318,
รับสมัคร,0.184891706286318,n
ร่วมกับ,0.184891706286318,n
inform,0.184891706286318,
build,0.184891706286318,
โครง,0.184891706286318,y
ราคา,0.184891706286318,
draw,0.184891706286318,y
user,0.184891706286318,n
ภูเก็ต,0.184891706286318,n
degre,0.158478605388272,n
present,0.158478605388272,
บริษัท,0.158478605388272,n
จัดทำ,0.158478605388272,
เป็นพิเศษ,0.158478605388272,n
ขาย,0.158478605388272,
industri,0.158478605388272,n
posit,0.158478605388272,n
includ,0.158478605388272,n
ทั้ง,0.158478605388272,n
materi,0.158478605388272,
submit,0.158478605388272,
ธุรกิจ,0.158478605388272,n
ผลิตภัณฑ์,0.158478605388272,n
ปรับ,0.158478605388272,
แผนงาน,0.158478605388272,
แผน,0.158478605388272,
บริหาร,0.158478605388272,
abl,0.158478605388272,n
applic,0.158478605388272,
บ้าน,0.158478605388272,y
สเปค,0.158478605388272,
สำรวจ,0.158478605388272,
ช่าง,0.158478605388272,
คำนวณ,0.158478605388272,
layout,0.158478605388272,y
autocad,0.158478605388272,y
krungsri,0.158478605388272,n
ensur,0.132065504490227,
bachelor,0.132065504490227,n
อาวุโส,0.132065504490227,n
จัดการ,0.132065504490227,
ตรง,0.132065504490227,
การศึกษา,0.132065504490227,n
busi,0.132065504490227,
report,0.132065504490227,
ดูแล,0.132065504490227,
รับ,0.132065504490227,n
สอดคล้อง,0.132065504490227,n
salari,0.132065504490227,n
ให้คำปรึกษา,0.132065504490227,
ระหว่าง,0.132065504490227,n
ประจำ,0.132065504490227,n
engin,0.132065504490227,y
requir,0.132065504490227,n
shop,0.132065504490227,
วางแผน,0.132065504490227,
knowledg,0.132065504490227,
high,0.132065504490227,n
contact,0.132065504490227,
resum,0.132065504490227,n
ความต้องการ,0.132065504490227,n
เกี่ยวกับ,0.132065504490227,n
การทำงาน,0.132065504490227,n
บริษัทฯ,0.132065504490227,n
วัน,0.132065504490227,n
ทีม,0.132065504490227,
ศึกษา,0.132065504490227,n
ระบบ,0.132065504490227,
consult,0.132065504490227,
วิศวกรรม,0.132065504490227,
interest,0.132065504490227,
http,0.132065504490227,n
follow,0.132065504490227,
รายการ,0.132065504490227,
สูง,0.132065504490227,n
เบื้องต้น,0.132065504490227,n
finish,0.132065504490227,
ประสาน,0.132065504490227,
สายงาน,0.132065504490227,
แก้ไข,0.132065504490227,
interior,0.132065504490227,y
เคลียร์,0.132065504490227,
ผู้ออกแบบ,0.132065504490227,y
เวลาทำการ,0.132065504490227,
สร้างบ้าน,0.132065504490227,y
oper,0.105652403592182,
เจ้าหน้าที่,0.105652403592182,n
วิเคราะห์,0.105652403592182,
ติดตาม,0.105652403592182,
ความสามารถ,0.105652403592182,n
ส่ง,0.105652403592182,n
email,0.105652403592182,n
ความรับผิดชอบ,0.105652403592182,
โทร,0.105652403592182,n
รายงาน,0.105652403592182,
prepar,0.105652403592182,
ถูกต้อง,0.105652403592182,
มาตรฐาน,0.105652403592182,
ต่อ,0.105652403592182,n
document,0.105652403592182,
แก่,0.105652403592182,n
การตลาด,0.105652403592182,
จาก,0.105652403592182,n
budget,0.105652403592182,
polici,0.105652403592182,
person,0.105652403592182,
prefer,0.105652403592182,
expect,0.105652403592182,
tower,0.105652403592182,
microsoft,0.105652403592182,
เป้าหมาย,0.105652403592182,
แก้ไขปัญหา,0.105652403592182,
ภายใต้,0.105652403592182,
สร้าง,0.105652403592182,
เลือก,0.105652403592182,
เสนอ,0.105652403592182,
ทีมงาน,0.105652403592182,
จบ,0.105652403592182,n
แนวทาง,0.105652403592182,n
อายุ,0.105652403592182,n
รวมถึง,0.105652403592182,n
ประโยชน์,0.105652403592182,
ดำเนินการ,0.105652403592182,
excel,0.105652403592182,
หญิง,0.105652403592182,n
หลัก,0.105652403592182,
ความเข้าใจ,0.105652403592182,
พื้นที่,0.105652403592182,
เขียน,0.105652403592182,
benefit,0.105652403592182,
data,0.105652403592182,
รูปแบบ,0.105652403592182,
ร่วม,0.105652403592182,
career,0.105652403592182,n
limit,0.105652403592182,
ตามเวลา,0.105652403592182,
ส,0.105652403592182,n
ตกแต่งภายใน,0.105652403592182,
ผู้รับเหมา,0.105652403592182,y
ความเป็นไปได้,0.105652403592182,n
auto,0.105652403592182,n
ขออนุญาต,0.105652403592182,
glass,0.105652403592182,
