,job,in_HR,in_Investor // finance // account,in_Policy manager // BD,in_Stock // procurement // supply,in_architecture,in_care taker,in_cashier,in_cooker + bartender,in_coordinator,in_credit analyst,in_entertainer,in_event organizer,in_flim,in_gardener,in_graphic design,in_interior archetecture,in_law,in_maid,in_manufacturing manager,in_marketing // advertising,in_other managers,in_photographer,in_product,in_retail manager,in_sale // service,in_security + safety,in_teacher,in_therapist,in_translator,in_vehicle driver,in_waiter,in_writer,avg_err,alpha,beta,n_topic,represent_topic,order,amount,o,Represent_topic
0,vehicle driver,0.0,0.153139357,0.0,3.255813953,0.0,0,0.0,0.0,0.636942675,0.0,0,0,0,0,0.0,0.0,0.0,2,0.0,0.147928994,0.0,0,0.0,0.0,0.108225108,3.571428571,0.523560209,0.0,0.0,85.83333333,0.0,0.0,0.335388351,0.025,None,74,"[50, 58, 52]",1,240,12,"[15, 71]"
1,teacher,5.479452055,0.153139357,1.226993865,0.0,1.754385965,0,0.0,0.0,1.592356688,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.443786982,0.0,0,0.0,0.0,1.19047619,0.0,87.43455497,0.0,0.0,0.0,0.0,1.538461538,0.431582343,symmetric,1,100,"[59, 25]",2,191,3,"[26, 29, 2, 90]"
2,law,0.342465753,1.225114855,0.0,0.23255814,0.0,0,0.0,0.0,3.184713376,1.538461538,0,0,0,0,0.0,0.0,90.05524862,0,0.0,0.0,7.291666667,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.445644527,0.05,5,120,"[89, 70]",3,181,6,"[76, 4]"
3,Investor // finance // account,3.424657534,84.3797856,2.45398773,1.627906977,0.0,0,5.172413793,0.0,2.229299363,1.538461538,0,0,0,0,0.0,0.0,1.657458564,0,3.571428571,0.443786982,1.041666667,0,0.0,0.0,0.649350649,1.785714286,0.0,0.0,0.0,0.416666667,0.0,0.0,0.839122559,0.002,None,65,[9],4,653,9,"[57, 33, 32, 53]"
4,cooker + bartender,0.0,0.153139357,0.613496933,0.930232558,0.0,0,1.724137931,81.48148148,1.910828025,0.0,0,0,0,0,0.0,0.0,1.104972376,10,0.0,0.443786982,1.041666667,0,1.515151515,2.283105023,0.757575758,0.0,0.0,0.0,0.694444444,1.25,4.861111111,0.0,0.944633828,0.1,1,70,"[24, 10]",5,189,10,"[27, 36, 40, 23]"
5,HR,82.19178082,0.306278714,1.226993865,1.162790698,0.0,0,0.0,0.529100529,1.27388535,0.0,0,0,0,0,1.047120419,0.0,1.657458564,0,3.571428571,0.443786982,3.125,0,0.0,0.0,0.541125541,5.357142857,9.947643979,0.0,0.0,0.0,0.694444444,0.0,0.996264533,0.1,0.1,90,"[8, 52]",6,292,15,"[44, 80, 34]"
6,maid,0.684931507,0.0,0.613496933,0.0,0.0,0,0.0,0.529100529,0.0,0.0,0,0,0,0,0.0,0.0,0.0,78,0.0,0.0,1.041666667,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.694444444,0.0,0.114956132,0.035,None,62,"[50, 48, 4]",7,50,8,[44]
7,translator,0.0,0.0,0.0,0.23255814,0.0,0,0.0,0.0,1.592356688,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.295857988,0.0,0,0.0,0.0,0.649350649,0.0,0.0,0.0,90.27777778,0.416666667,0.0,1.538461538,0.152427473,0.06,None,80,[31],8,144,14,"[25, 58]"
8,credit analyst,0.0,1.531393568,0.613496933,0.0,0.0,0,0.0,0.0,0.318471338,87.69230769,0,0,0,0,1.047120419,0.0,0.552486188,0,0.0,0.73964497,0.0,0,0.0,0.913242009,1.731601732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.240240553,0.07,None,116,"[11, 108]",9,65,5,"[79, 90]"
9,therapist,0.0,0.0,0.0,0.0,0.0,0,0.0,0.529100529,0.0,0.0,0,2,0,0,0.0,0.0,0.0,0,3.571428571,0.147928994,1.041666667,0,0.0,0.0,1.515151515,0.0,0.0,84.90566038,0.0,0.0,0.0,0.0,0.28404117,0.05,0.01,30,[7],10,53,7,[27]
10,security + safety,0.684931507,0.765696784,0.0,1.162790698,0.0,0,0.0,0.0,0.318471338,0.0,0,0,0,0,0.0,0.0,0.552486188,0,0.0,0.147928994,5.208333333,0,0.0,0.0,0.108225108,82.14285714,1.047120419,0.0,0.0,1.25,0.0,0.0,0.362773689,0.075,None,110,"[98, 103]",11,56,4,"[10, 85, 65, 9]"
11,care taker,0.0,0.0,0.0,0.0,0.0,90,0.0,0.0,7.324840764,0.0,0,0,0,0,0.0,0.0,0.0,2,0.0,0.147928994,0.0,0,0.0,0.0,0.324675325,0.0,0.0,1.886792453,0.0,0.416666667,0.0,0.0,0.390351748,0.1,5,70,[32],12,10,11,"[10, 61, 40]"
12,cashier,0.0,0.306278714,0.0,3.488372093,0.0,0,86.20689655,1.587301587,0.318471338,3.076923077,0,0,0,0,0.0,0.0,0.0,0,0.0,0.147928994,1.041666667,0,0.0,1.369863014,2.272727273,0.0,0.0,0.0,0.0,0.416666667,6.25,0.0,0.654070949,0.09,None,95,"[14, 26, 33, 70]",13,58,19,"[58, 39]"
13,architecture,0.684931507,0.306278714,2.45398773,0.0,71.92982456,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,13.79310345,1.104972376,0,0.0,0.295857988,2.083333333,0,4.545454545,0.0,0.216450216,0.0,0.0,0.0,0.0,0.0,0.0,1.538461538,0.871704239,0.045,None,104,"[16, 101]",14,57,20,"[26, 31, 54]"
14,Stock // procurement // supply,0.0,0.306278714,1.226993865,72.79069767,0.0,0,8.620689655,3.174603175,3.821656051,0.0,0,2,0,0,0.0,0.0,0.552486188,0,0.0,2.218934911,6.25,0,1.515151515,0.913242009,3.246753247,0.0,0.523560209,0.0,1.388888889,3.75,0.0,0.0,1.274491562,0.03,None,95,"[56, 29]",15,430,18,"[2, 6, 54, 85, 81, 41]"
